fixture,fixture_status,failure_reason,orientation,layout,image_hash_sha256,plot_bounds,value_axis,category,series,mark_status,truth_value,extracted_value,absolute_error,error_lower_truth_pixel,error_lower_extracted_pixel,error_upper_truth_pixel,error_upper_extracted_pixel,overlay,recreation
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",A,red,extracted,20.0,19.86607142857143,0.1339285714285694,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",A,blue,extracted,30.0,29.6875,0.3125,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",A,green,extracted,50.0,49.776785714285715,0.2232142857142847,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",B,red,extracted,35.0,34.82142857142857,0.1785714285714306,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",B,blue,extracted,20.0,19.64285714285714,0.3571428571428612,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",B,green,extracted,45.0,44.86607142857143,0.1339285714285694,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",C,red,extracted,15.0,14.732142857142856,0.2678571428571441,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",C,blue,extracted,45.0,44.86607142857142,0.1339285714285765,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",C,green,extracted,40.0,39.732142857142854,0.2678571428571459,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",D,red,extracted,30.0,29.6875,0.3125,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",D,blue,extracted,25.0,24.77678571428571,0.22321428571428825,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
percent_stacked_horizontal_clean,passed,,horizontal,percent_stacked,374226280fb3d51ee90ffae333d20bbac10d0d17c35397164adaed61fae891a0,"[91, 48, 538, 403]","[91.0, 0.0, 539.0, 100.0]",D,green,extracted,45.0,44.86607142857143,0.1339285714285694,,,,,percent_stacked_horizontal_clean_overlay.png,percent_stacked_horizontal_clean_recreation.png
