series,x,y,x_pixel,y_pixel
red,6.111111111111111,5.0,320.0,190.0
red,8.409090909090908,4.109589041095891,411.0,216.0
red,2.398989898989899,3.390410958904109,173.0,237.0
red,4.090909090909091,2.705479452054795,240.0,257.0
red,0.9090909090909091,2.089041095890411,114.0,275.0
blue,8.712121212121213,8.013698630136986,423.0,102.0
blue,1.2121212121212122,7.5,126.0,117.0
blue,4.898989898989899,7.191780821917808,272.0,126.0
blue,6.994949494949495,6.404109589041096,355.0,149.0
blue,3.207070707070707,6.095890410958904,205.0,158.0
green,3.888888888888889,5.205479452054795,232.0,184.0
green,9.090909090909092,5.102739726027397,438.0,187.0
green,1.792929292929293,4.794520547945205,149.0,196.0
green,5.303030303030303,4.212328767123288,288.0,213.0
green,6.792929292929293,3.595890410958904,347.0,231.0
