band_id,legend_swatch_index_bottom_to_top,legend_swatch_x_px,legend_swatch_y_px,printed_legend_value_nT,derived_regular_step_value_nT,value_status,palette_hex,pixel_count,area_fraction_of_map,band_semantics
1,1,1438,1048,20,20,printed_legend_label,#ffffff,0,0.0,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
2,2,1438,1017,,40,derived_between_adjacent_printed_legend_labels,#fbfcdf,382,0.00042749,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
3,3,1438,986,60,60,printed_legend_label,#f7f9c6,1389,0.00155439,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
4,4,1438,955,,80,derived_between_adjacent_printed_legend_labels,#f3f7ad,9740,0.01089978,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
5,5,1438,924,100,100,printed_legend_label,#f2f69a,39422,0.04411613,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
6,6,1438,893,,120,derived_between_adjacent_printed_legend_labels,#eef486,111569,0.12485396,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
7,7,1438,862,140,140,printed_legend_label,#edf274,54116,0.06055981,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
8,8,1438,831,,160,derived_between_adjacent_printed_legend_labels,#e7ee5c,70045,0.07838553,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
9,9,1438,800,180,180,printed_legend_label,#e8ee53,83801,0.09377952,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
10,10,1438,769,,200,derived_between_adjacent_printed_legend_labels,#e6ed4b,145656,0.16299983,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
11,11,1438,738,220,220,printed_legend_label,#e3ec37,120008,0.13429783,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
12,12,1438,707,,240,derived_between_adjacent_printed_legend_labels,#e4ec36,114081,0.12766507,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
13,13,1438,676,260,260,printed_legend_label,#eaec2e,25424,0.02845134,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
14,14,1438,645,,280,derived_between_adjacent_printed_legend_labels,#ead127,69664,0.07795917,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
15,15,1438,614,300,300,printed_legend_label,#f1b924,33376,0.03735021,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
16,16,1438,583,,320,derived_between_adjacent_printed_legend_labels,#f4a323,9390,0.0105081,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
17,17,1438,552,340,340,printed_legend_label,#f68e22,1335,0.00149396,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
18,18,1438,521,,360,derived_between_adjacent_printed_legend_labels,#f57823,2199,0.00246084,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
19,19,1438,490,380,380,printed_legend_label,#f46425,5,5.6e-06,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
20,20,1438,459,,400,derived_between_adjacent_printed_legend_labels,#f15525,14,1.567e-05,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
21,21,1438,428,420,420,printed_legend_label,#f14525,0,0.0,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
22,22,1438,397,,440,derived_between_adjacent_printed_legend_labels,#ef3624,0,0.0,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
23,23,1438,366,460,460,printed_legend_label,#ee2d27,0,0.0,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
24,24,1438,335,,480,derived_between_adjacent_printed_legend_labels,#eb2527,0,0.0,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
25,25,1438,304,500,500,printed_legend_label,#db2529,1980,0.00221577,visible_colour_swatch_class_only_not_a_point_value_or_source_grid
