series,x,value,pixel_x,pixel_y,uncertainty_value,confidence,value_status
Mackey-Glass,-0.0,,176,,,,not_extracted_gap
Mackey-Glass,1.1053316,,177,,,,not_extracted_gap
Mackey-Glass,2.2106632,,178,,,,not_extracted_gap
Mackey-Glass,3.3159948,0.99907905,179,132.8148,0.00175926,0.9699,visible_trace_observed
Mackey-Glass,4.4213264,1.00975825,180,130.6902,0.00175926,1.0,visible_trace_observed
Mackey-Glass,5.526658,1.02314974,181,128.026,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,6.6319896,1.03560328,182,125.5484,0.00175926,0.7357,visible_trace_observed
Mackey-Glass,7.7373212,1.05509135,183,121.6713,0.00175926,0.9992,visible_trace_observed
Mackey-Glass,8.8426528,1.07059796,184,118.5863,0.00175926,1.0,visible_trace_observed
Mackey-Glass,9.9479844,1.0825182,185,116.2148,0.00195228,0.7117,visible_trace_observed
Mackey-Glass,11.05331599,1.07960989,186,116.7934,0.00187085,0.8848,visible_trace_observed
Mackey-Glass,12.15864759,1.06693267,187,119.3155,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,13.26397919,1.05537434,188,121.615,0.00175926,0.7117,visible_trace_observed
Mackey-Glass,14.36931079,1.04614929,189,123.4503,0.00175926,0.9022,visible_trace_observed
Mackey-Glass,15.47464239,1.03151476,190,126.3618,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,16.57997399,1.01593124,191,129.4621,0.00175926,0.979,visible_trace_observed
Mackey-Glass,17.68530559,1.00078553,192,132.4753,0.0018618,0.9992,visible_trace_observed
Mackey-Glass,18.79063719,0.98533722,193,135.5487,0.00185426,0.9699,visible_trace_observed
Mackey-Glass,19.89596879,0.96804873,194,138.9882,0.00175926,0.9865,visible_trace_observed
Mackey-Glass,21.00130039,0.94407958,195,143.7568,0.00175926,0.947,visible_trace_observed
Mackey-Glass,22.10663199,0.91716392,196,149.1116,0.00175926,0.979,visible_trace_observed
Mackey-Glass,23.21196359,0.88958979,197,154.5974,0.00175926,0.9924,visible_trace_observed
Mackey-Glass,24.31729519,0.86454397,198,159.5802,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,25.42262679,0.83824405,199,164.8125,0.00175926,0.9185,visible_trace_observed
Mackey-Glass,26.52795839,0.80994259,200,170.443,0.00175926,0.9992,visible_trace_observed
