series,x,value,pixel_x,pixel_y,uncertainty_value,confidence,value_status,visible_colour
Bacteria (phylum),0,1.0,103.0,45.0,0.00135227,0.9114,visible_marker_observed,#8ec3e8
Bacteria (phylum),1,0.89573957,115.2,71.9851,0.01441535,0.7072,visible_marker_observed,#8ec3e8
Bacteria (phylum),2,0.8697342,127.4,78.7159,0.0024963,0.8572,visible_marker_observed,#8ec3e8
Bacteria (phylum),3,0.85972819,139.6,81.3056,0.00255116,0.855,visible_marker_observed,#8ec3e8
Bacteria (phylum),4,0.85594768,151.8,82.2841,0.00256236,0.8546,visible_marker_observed,#8ec3e8
Bacteria (phylum),5,0.84728924,164.0,84.5251,0.00248818,0.8576,visible_marker_observed,#8ec3e8
Bacteria (phylum),6,0.83929117,176.2,86.5952,0.00251214,0.8566,visible_marker_observed,#8ec3e8
Bacteria (phylum),7,0.83982967,188.4,86.4558,0.00254459,0.8553,visible_marker_observed,#8ec3e8
Bacteria (phylum),8,0.83649003,200.6,87.3202,0.00255193,0.855,visible_marker_observed,#8ec3e8
Bacteria (phylum),9,0.82770907,212.8,89.5929,0.00254034,0.8554,visible_marker_observed,#8ec3e8
Bacteria (phylum),10,0.82378941,225.0,90.6074,0.00254884,0.8551,visible_marker_observed,#8ec3e8
Bacteria (phylum),11,0.82473959,237.2,90.3615,0.00259675,0.8532,visible_marker_observed,#8ec3e8
Bacteria (phylum),12,0.8231505,249.4,90.7728,0.00258786,0.8535,visible_marker_observed,#8ec3e8
Bacteria (phylum),13,0.81933104,261.6,91.7614,0.00252566,0.856,visible_marker_observed,#8ec3e8
Bacteria (phylum),14,0.8190168,273.8,91.8427,0.00256198,0.8546,visible_marker_observed,#8ec3e8
Bacteria (phylum),15,0.81739192,286.0,92.2633,0.00251832,0.8563,visible_marker_observed,#8ec3e8
Bacteria (phylum),16,0.81840681,298.2,92.0006,0.0025697,0.8543,visible_marker_observed,#8ec3e8
Bacteria (phylum),17,0.80887423,310.4,94.4678,0.00256159,0.8546,visible_marker_observed,#8ec3e8
Bacteria (phylum),18,0.80942914,322.6,94.3242,0.00244027,0.8595,visible_marker_observed,#8ec3e8
Bacteria (phylum),19,0.80781189,334.8,94.7428,0.00252218,0.8562,visible_marker_observed,#8ec3e8
Bacteria (phylum),20,0.80895407,347.0,94.4472,0.00253686,0.8556,visible_marker_observed,#8ec3e8
Bacteria (phylum),21,0.80459221,359.2,95.5761,0.00254111,0.8554,visible_marker_observed,#8ec3e8
Bacteria (phylum),22,0.80337054,371.4,95.8923,0.00253377,0.8557,visible_marker_observed,#8ec3e8
Bacteria (phylum),23,0.79909107,383.6,97.0,0.00252489,0.8561,visible_marker_observed,#8ec3e8
Bacteria (phylum),24,0.79576515,395.8,97.8608,0.00251639,0.8564,visible_marker_observed,#8ec3e8
Bacteria (phylum),25,0.79398192,408.0,98.3223,0.00257086,0.8542,visible_marker_observed,#8ec3e8
Bacteria (phylum),26,0.79626421,420.2,97.7316,0.00264852,0.8512,visible_marker_observed,#8ec3e8
Bacteria (phylum),27,0.7897794,432.4,99.41,0.00256816,0.8543,visible_marker_observed,#8ec3e8
Bacteria (phylum),28,0.78829945,444.6,99.7931,0.00255232,0.855,visible_marker_observed,#8ec3e8
Bacteria (phylum),29,0.78269472,456.8,101.2437,0.00251291,0.8566,visible_marker_observed,#8ec3e8
Bacteria (phylum),30,0.78029756,469.0,101.8642,0.00249939,0.8571,visible_marker_observed,#8ec3e8
Bacteria (phylum),31,0.77352401,481.2,103.6173,0.00251677,0.8564,visible_marker_observed,#8ec3e8
Bacteria (phylum),32,0.77856901,493.4,102.3116,0.00251755,0.8564,visible_marker_observed,#8ec3e8
Bacteria (phylum),33,0.77191143,505.6,104.0347,0.00259289,0.8533,visible_marker_observed,#8ec3e8
Bacteria (phylum),34,0.76972925,517.8,104.5995,0.00252295,0.8561,visible_marker_observed,#8ec3e8
Bacteria (phylum),35,0.76642959,530.0,105.4535,0.00252566,0.856,visible_marker_observed,#8ec3e8
Bacteria (phylum),36,0.76627212,542.2,105.4943,0.00250827,0.8567,visible_marker_observed,#8ec3e8
Bacteria (phylum),37,0.76321421,554.4,106.2857,0.00254884,0.8551,visible_marker_observed,#8ec3e8
Bacteria (phylum),38,0.76198748,566.6,106.6032,0.00257782,0.8539,visible_marker_observed,#8ec3e8
Bacteria (phylum),39,0.76457114,578.8,105.9345,0.00254305,0.8553,visible_marker_observed,#8ec3e8
Bacteria (phylum),40,0.76188342,591.0,106.6302,0.00248045,0.8579,visible_marker_observed,#8ec3e8
