kind,series,category,x,y,value,pixel_x,pixel_y,width,height,fill,value_status,visible_label
cell,row 1,column 1,1,1,-0.4627,0.0,0.0,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.22
cell,row 1,column 2,2,1,0.0,113.333,0.0,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,0.07
cell,row 1,column 3,3,1,0.0,226.667,0.0,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,−0.06
cell,row 1,column 4,4,1,0.0,340.0,0.0,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,0.05
cell,row 1,column 5,5,1,0.0,453.333,0.0,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,0.09
cell,row 1,column 6,6,1,0.0,566.667,0.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.02
cell,row 1,column 7,7,1,0.0,680.0,0.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.06
cell,row 1,column 8,8,1,0.0,793.333,0.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.04
cell,row 1,column 9,9,1,0.0,906.667,0.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.08
cell,row 1,column 10,10,1,0.0,1020.0,0.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.17
cell,row 1,column 11,11,1,0.0,1133.333,0.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.00
cell,row 1,column 12,12,1,0.0,1246.667,0.0,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.11
cell,row 2,column 1,1,2,0.0,0.0,113.833,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 2,column 2,2,2,-0.4745,113.333,113.833,113.833,114.333,#4a4bc3,colourbar_scaled_candidate,0.46
cell,row 2,column 3,3,2,0.6431,226.667,113.833,113.833,114.333,#efee4b,colourbar_scaled_candidate,−0.32
cell,row 2,column 4,4,2,0.0,340.0,113.833,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,0.15
cell,row 2,column 5,5,2,-0.4745,453.333,113.833,113.833,114.333,#4a4bc3,colourbar_scaled_candidate,0.43
cell,row 2,column 6,6,2,0.6431,566.667,113.833,113.833,114.333,#efee4b,colourbar_scaled_candidate,−0.23
cell,row 2,column 7,7,2,-0.4627,680.0,113.833,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.37
cell,row 2,column 8,8,2,0.0,793.333,113.833,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.07
cell,row 2,column 9,9,2,0.6431,906.667,113.833,113.833,114.333,#efee4b,colourbar_scaled_candidate,−0.25
cell,row 2,column 10,10,2,-0.4745,1020.0,113.833,113.833,114.333,#4a4bc3,colourbar_scaled_candidate,0.46
cell,row 2,column 11,11,2,0.0,1133.333,113.833,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.09
cell,row 2,column 12,12,2,0.0,1246.667,113.833,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.04
cell,row 3,column 1,1,3,0.0,0.0,227.667,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 3,column 2,2,3,0.0,113.333,227.667,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 3,column 3,3,3,0.0,226.667,227.667,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,−0.13
cell,row 3,column 4,4,3,0.0,340.0,227.667,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,−0.10
cell,row 3,column 5,5,3,-0.4745,453.333,227.667,113.833,114.333,#4a4bc3,colourbar_scaled_candidate,0.44
cell,row 3,column 6,6,3,0.0,566.667,227.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.11
cell,row 3,column 7,7,3,0.0,680.0,227.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.12
cell,row 3,column 8,8,3,0.0,793.333,227.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.06
cell,row 3,column 9,9,3,0.349,906.667,227.667,113.833,114.333,#a5a64c,colourbar_scaled_candidate,−0.45
cell,row 3,column 10,10,3,-0.4627,1020.0,227.667,113.833,114.333,#8283f8,colourbar_scaled_candidate,0.31
cell,row 3,column 11,11,3,0.6431,1133.333,227.667,113.833,114.333,#efee4b,colourbar_scaled_candidate,−0.21
cell,row 3,column 12,12,3,0.0,1246.667,227.667,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.13
cell,row 4,column 1,1,4,0.0,0.0,341.5,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 4,column 2,2,4,0.0,113.333,341.5,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 4,column 3,3,4,0.0,226.667,341.5,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 4,column 4,4,4,0.349,340.0,341.5,113.833,114.333,#a5a64c,colourbar_scaled_candidate,−0.60
cell,row 4,column 5,5,4,0.0,453.333,341.5,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,−0.22
cell,row 4,column 6,6,4,0.0,566.667,341.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.13
cell,row 4,column 7,7,4,0.0,680.0,341.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.18
cell,row 4,column 8,8,4,0.0,793.333,341.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.13
cell,row 4,column 9,9,4,0.0,906.667,341.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.15
cell,row 4,column 10,10,4,0.0,1020.0,341.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.13
cell,row 4,column 11,11,4,0.0,1133.333,341.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.15
cell,row 4,column 12,12,4,0.0,1246.667,341.5,113.833,114.333,#ffffff,colourbar_scaled_candidate,0.09
cell,row 5,column 1,1,5,0.0,0.0,455.333,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 5,column 2,2,5,0.0,113.333,455.333,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 5,column 3,3,5,0.0,226.667,455.333,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 5,column 4,4,5,0.0,340.0,455.333,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,
cell,row 5,column 5,5,5,0.0,453.333,455.333,113.833,114.333,#d9d9d9,colourbar_scaled_candidate,0.00
cell,row 5,column 6,6,5,0.0,566.667,455.333,113.833,114.333,#ffffff,colourbar_scaled_candidate,−0.15
