record_id,kind,shape,set,value,value_status,guide_role,pixel_x,pixel_y,guide_left_px,guide_right_px,left_bar_left_px,left_bar_right_px,hit_x,hit_y,width,height,intersection,column_id,members,combination,count,member_count,bar_geometry_status,bar_left_x_px,bar_top_y_px,bar_right_x_px,bar_bottom_y_px,present,cell_status,foreground_fraction,radius
1,set_total,rect,FunC-2,3550,derived_from_visible_intersections_and_memberships,membership_guides,942.0872093023256,191.0,271,814,,,836,171,212.17441860465115,40,,,,,,,,,,,,,,,
2,set_total,rect,FunC-4,4129,derived_from_visible_intersections_and_memberships,membership_guides,959.3898837209302,92.0,271,1051,,,836,72,246.77976744186046,40,,,,,,,,,,,,,,,
3,set_total,rect,FunC-3,4177,derived_from_visible_intersections_and_memberships,membership_guides,960.8243023255814,141.0,212,1042,,,836,121,249.6486046511628,40,,,,,,,,,,,,,,,
4,set_total,rect,FunC-1,4276,derived_from_visible_intersections_and_memberships,membership_guides,963.7827906976744,240.0,330,1051,,,836,220,255.56558139534883,40,,,,,,,,,,,,,,,
5,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,216.5,293.0,,,,,200.0,88.0,34.0,410.0,1,I01,FunC-2;FunC-4;FunC-3;FunC-1,FunC-2+FunC-4+FunC-3+FunC-1,1857,4,original_pixel_detected,200.0,88.0,234.0,498.0,,,,
6,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,275.5,421.5,,,,,259.0,345.0,34.0,153.0,2,I02,FunC-1,FunC-1,709,1,original_pixel_detected,259.0,345.0,293.0,498.0,,,,
7,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,334.5,437.5,,,,,318.0,377.0,34.0,121.0,3,I03,FunC-3,FunC-3,565,1,original_pixel_detected,318.0,377.0,352.0,498.0,,,,
8,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,394.0,445.5,,,,,377.0,393.0,35.0,105.0,4,I04,FunC-4;FunC-3;FunC-1,FunC-4+FunC-3+FunC-1,495,3,original_pixel_detected,377.0,393.0,412.0,498.0,,,,
9,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,453.0,449.5,,,,,437.0,401.0,33.0,97.0,5,I05,FunC-2,FunC-2,458,1,original_pixel_detected,437.0,401.0,470.0,498.0,,,,
10,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,512.5,451.0,,,,,496.0,404.0,34.0,94.0,6,I06,FunC-4,FunC-4,444,1,original_pixel_detected,496.0,404.0,530.0,498.0,,,,
11,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,571.5,461.0,,,,,555.0,424.0,34.0,74.0,7,I07,FunC-4;FunC-3,FunC-4+FunC-3,355,2,original_pixel_detected,555.0,424.0,589.0,498.0,,,,
12,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,630.5,466.5,,,,,614.0,435.0,34.0,63.0,8,I08,FunC-3;FunC-1,FunC-3+FunC-1,308,2,original_pixel_detected,614.0,435.0,648.0,498.0,,,,
13,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,690.5,467.5,,,,,674.0,437.0,34.0,61.0,9,I09,FunC-2;FunC-4;FunC-3,FunC-2+FunC-4+FunC-3,298,3,original_pixel_detected,674.0,437.0,708.0,498.0,,,,
14,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,749.0,470.0,,,,,733.0,442.0,33.0,56.0,10,I10,FunC-2;FunC-4;FunC-1,FunC-2+FunC-4+FunC-1,273,3,original_pixel_detected,733.0,442.0,766.0,498.0,,,,
15,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,808.5,472.5,,,,,792.0,447.0,34.0,51.0,11,I11,FunC-4;FunC-1,FunC-4+FunC-1,249,2,original_pixel_detected,792.0,447.0,826.0,498.0,,,,
16,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,867.5,477.5,,,,,851.0,457.0,34.0,41.0,12,I12,FunC-2;FunC-1,FunC-2+FunC-1,207,2,original_pixel_detected,851.0,457.0,885.0,498.0,,,,
17,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,926.5,481.0,,,,,910.0,464.0,34.0,34.0,13,I13,FunC-2;FunC-3;FunC-1,FunC-2+FunC-3+FunC-1,178,3,original_pixel_detected,910.0,464.0,944.0,498.0,,,,
18,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,986.5,483.0,,,,,970.0,468.0,34.0,30.0,14,I14,FunC-2;FunC-4,FunC-2+FunC-4,158,2,original_pixel_detected,970.0,468.0,1004.0,498.0,,,,
19,intersection,rect,,,visible_printed_value_and_original_pixel_membership,column_bar,1045.5,487.0,,,,,1029.0,476.0,34.0,22.0,15,I15,FunC-2;FunC-3,FunC-2+FunC-3,121,2,original_pixel_detected,1029.0,476.0,1063.0,498.0,,,,
20,membership_cell,circle,FunC-2,,original_pixel_active_membership,,216.5,512.0,,,,,,,,,1,I01,,,,,,,,,,yes,active,0.377778,8
