kind,pixel_x,left_px,right_px,top_px,bottom_px,width_px,max_vertical_gap_px,guide_role,column_index,column_id,value,member_count,members,pixel_y,height_px,area_px,row_index,row_id,row_type,derived_total,status,foreground_fraction
column_bar,216.5,200,234,88,498,34,0,column_bar,1,I01,1857,4,FunC-2;FunC-4;FunC-3;FunC-1,,,,,,,,,
column_bar,275.5,259,293,345,498,34,0,column_bar,2,I02,709,1,FunC-1,,,,,,,,,
column_bar,334.5,318,352,377,498,34,0,column_bar,3,I03,565,1,FunC-3,,,,,,,,,
column_bar,394.0,377,412,393,498,35,0,column_bar,4,I04,495,3,FunC-4;FunC-3;FunC-1,,,,,,,,,
column_bar,453.0,437,470,401,498,33,0,column_bar,5,I05,458,1,FunC-2,,,,,,,,,
column_bar,512.5,496,530,404,498,34,0,column_bar,6,I06,444,1,FunC-4,,,,,,,,,
column_bar,571.5,555,589,424,498,34,0,column_bar,7,I07,355,2,FunC-4;FunC-3,,,,,,,,,
column_bar,630.5,614,648,435,498,34,0,column_bar,8,I08,308,2,FunC-3;FunC-1,,,,,,,,,
column_bar,690.5,674,708,437,498,34,0,column_bar,9,I09,298,3,FunC-2;FunC-4;FunC-3,,,,,,,,,
column_bar,749.0,733,766,442,498,33,0,column_bar,10,I10,273,3,FunC-2;FunC-4;FunC-1,,,,,,,,,
column_bar,808.5,792,826,447,498,34,0,column_bar,11,I11,249,2,FunC-4;FunC-1,,,,,,,,,
column_bar,867.5,851,885,457,498,34,0,column_bar,12,I12,207,2,FunC-2;FunC-1,,,,,,,,,
column_bar,926.5,910,944,464,498,34,0,column_bar,13,I13,178,3,FunC-2;FunC-3;FunC-1,,,,,,,,,
column_bar,986.5,970,1004,468,498,34,0,column_bar,14,I14,158,2,FunC-2;FunC-4,,,,,,,,,
column_bar,1045.5,1029,1063,476,498,34,0,column_bar,15,I15,121,2,FunC-2;FunC-3,,,,,,,,,
row_guide,,271,814,507,518,,,membership_guides,,,,,,512.0,11,602,1,FunC-2,,3550.0,,
row_guide,,271,1051,535,545,,,membership_guides,,,,,,539.5,10,450,2,FunC-4,,4129.0,,
row_guide,,212,1042,562,572,,,membership_guides,,,,,,566.5,10,455,3,FunC-3,,4177.0,,
row_guide,,330,1051,589,600,,,membership_guides,,,,,,594.0,11,630,4,FunC-1,,4276.0,,
membership_cell,216.5,,,,,,,,1,I01,,,,512.0,,,1,FunC-2,,,active,0.37777777777777777
membership_cell,216.5,,,,,,,,1,I01,,,,539.5,,,2,FunC-4,,,active,0.4088888888888889
membership_cell,216.5,,,,,,,,1,I01,,,,566.5,,,3,FunC-3,,,active,0.4088888888888889
membership_cell,216.5,,,,,,,,1,I01,,,,594.0,,,4,FunC-1,,,active,0.38222222222222224
membership_cell,275.5,,,,,,,,2,I02,,,,512.0,,,1,FunC-2,,,inactive,0.0
membership_cell,275.5,,,,,,,,2,I02,,,,539.5,,,2,FunC-4,,,inactive,0.0
membership_cell,275.5,,,,,,,,2,I02,,,,566.5,,,3,FunC-3,,,inactive,0.0
membership_cell,275.5,,,,,,,,2,I02,,,,594.0,,,4,FunC-1,,,active,0.37777777777777777
membership_cell,334.5,,,,,,,,3,I03,,,,512.0,,,1,FunC-2,,,inactive,0.0
membership_cell,334.5,,,,,,,,3,I03,,,,539.5,,,2,FunC-4,,,inactive,0.0
membership_cell,334.5,,,,,,,,3,I03,,,,566.5,,,3,FunC-3,,,active,0.37777777777777777
membership_cell,334.5,,,,,,,,3,I03,,,,594.0,,,4,FunC-1,,,inactive,0.0
membership_cell,394.0,,,,,,,,4,I04,,,,512.0,,,1,FunC-2,,,inactive,0.0
membership_cell,394.0,,,,,,,,4,I04,,,,539.5,,,2,FunC-4,,,active,0.40444444444444444
membership_cell,394.0,,,,,,,,4,I04,,,,566.5,,,3,FunC-3,,,active,0.4088888888888889
membership_cell,394.0,,,,,,,,4,I04,,,,594.0,,,4,FunC-1,,,active,0.4088888888888889
membership_cell,453.0,,,,,,,,5,I05,,,,512.0,,,1,FunC-2,,,active,0.38222222222222224
membership_cell,453.0,,,,,,,,5,I05,,,,539.5,,,2,FunC-4,,,inactive,0.0
membership_cell,453.0,,,,,,,,5,I05,,,,566.5,,,3,FunC-3,,,inactive,0.0
membership_cell,453.0,,,,,,,,5,I05,,,,594.0,,,4,FunC-1,,,inactive,0.0
membership_cell,512.5,,,,,,,,6,I06,,,,512.0,,,1,FunC-2,,,inactive,0.0
membership_cell,512.5,,,,,,,,6,I06,,,,539.5,,,2,FunC-4,,,active,0.37333333333333335
membership_cell,512.5,,,,,,,,6,I06,,,,566.5,,,3,FunC-3,,,inactive,0.0
membership_cell,512.5,,,,,,,,6,I06,,,,594.0,,,4,FunC-1,,,inactive,0.0
membership_cell,571.5,,,,,,,,7,I07,,,,512.0,,,1,FunC-2,,,inactive,0.0
membership_cell,571.5,,,,,,,,7,I07,,,,539.5,,,2,FunC-4,,,active,0.40444444444444444
membership_cell,571.5,,,,,,,,7,I07,,,,566.5,,,3,FunC-3,,,active,0.40444444444444444
membership_cell,571.5,,,,,,,,7,I07,,,,594.0,,,4,FunC-1,,,inactive,0.0
membership_cell,630.5,,,,,,,,8,I08,,,,512.0,,,1,FunC-2,,,inactive,0.0
membership_cell,630.5,,,,,,,,8,I08,,,,539.5,,,2,FunC-4,,,inactive,0.0
membership_cell,630.5,,,,,,,,8,I08,,,,566.5,,,3,FunC-3,,,active,0.38666666666666666
membership_cell,630.5,,,,,,,,8,I08,,,,594.0,,,4,FunC-1,,,active,0.39555555555555555
membership_cell,690.5,,,,,,,,9,I09,,,,512.0,,,1,FunC-2,,,active,0.39111111111111113
membership_cell,690.5,,,,,,,,9,I09,,,,539.5,,,2,FunC-4,,,active,0.4222222222222222
membership_cell,690.5,,,,,,,,9,I09,,,,566.5,,,3,FunC-3,,,active,0.40444444444444444
membership_cell,690.5,,,,,,,,9,I09,,,,594.0,,,4,FunC-1,,,inactive,0.0
membership_cell,749.0,,,,,,,,10,I10,,,,512.0,,,1,FunC-2,,,active,0.4088888888888889
membership_cell,749.0,,,,,,,,10,I10,,,,539.5,,,2,FunC-4,,,active,0.4266666666666667
membership_cell,749.0,,,,,,,,10,I10,,,,566.5,,,3,FunC-3,,,inactive,0.13333333333333333
membership_cell,749.0,,,,,,,,10,I10,,,,594.0,,,4,FunC-1,,,active,0.4177777777777778
membership_cell,808.5,,,,,,,,11,I11,,,,512.0,,,1,FunC-2,,,inactive,0.0
membership_cell,808.5,,,,,,,,11,I11,,,,539.5,,,2,FunC-4,,,active,0.39555555555555555
membership_cell,808.5,,,,,,,,11,I11,,,,566.5,,,3,FunC-3,,,inactive,0.13333333333333333
membership_cell,808.5,,,,,,,,11,I11,,,,594.0,,,4,FunC-1,,,active,0.40444444444444444
membership_cell,867.5,,,,,,,,12,I12,,,,512.0,,,1,FunC-2,,,active,0.39555555555555555
membership_cell,867.5,,,,,,,,12,I12,,,,539.5,,,2,FunC-4,,,inactive,0.13333333333333333
membership_cell,867.5,,,,,,,,12,I12,,,,566.5,,,3,FunC-3,,,inactive,0.13333333333333333
membership_cell,867.5,,,,,,,,12,I12,,,,594.0,,,4,FunC-1,,,active,0.40444444444444444
membership_cell,926.5,,,,,,,,13,I13,,,,512.0,,,1,FunC-2,,,active,0.38222222222222224
membership_cell,926.5,,,,,,,,13,I13,,,,539.5,,,2,FunC-4,,,inactive,0.06666666666666667
membership_cell,926.5,,,,,,,,13,I13,,,,566.5,,,3,FunC-3,,,active,0.39555555555555555
membership_cell,926.5,,,,,,,,13,I13,,,,594.0,,,4,FunC-1,,,active,0.39111111111111113
membership_cell,986.5,,,,,,,,14,I14,,,,512.0,,,1,FunC-2,,,active,0.39111111111111113
membership_cell,986.5,,,,,,,,14,I14,,,,539.5,,,2,FunC-4,,,active,0.38222222222222224
membership_cell,986.5,,,,,,,,14,I14,,,,566.5,,,3,FunC-3,,,inactive,0.0
membership_cell,986.5,,,,,,,,14,I14,,,,594.0,,,4,FunC-1,,,inactive,0.0
membership_cell,1045.5,,,,,,,,15,I15,,,,512.0,,,1,FunC-2,,,active,0.39555555555555555
membership_cell,1045.5,,,,,,,,15,I15,,,,539.5,,,2,FunC-4,,,inactive,0.13333333333333333
membership_cell,1045.5,,,,,,,,15,I15,,,,566.5,,,3,FunC-3,,,active,0.4088888888888889
membership_cell,1045.5,,,,,,,,15,I15,,,,594.0,,,4,FunC-1,,,inactive,0.0
