panel_id,patch_diameter_um,theta_start_deg,theta_end_deg,theta_mid_deg,direction_class,radial_value,radial_uncertainty_approx,radial_unit,chord_x1_px,chord_y1_px,chord_x2_px,chord_y2_px,chord_mid_x_px,chord_mid_y_px,status,reason_code,support_pixels
D30,30,0,18,9.0,inward,2146.9,31.7,displayed_histogram_count,440.19,2488.5,432.72,2449.87,436.46,2469.19,candidate,visible_geometry_supported,51
D30,30,18,36,27.0,inward,2068.9,32.2,displayed_histogram_count,427.44,2451.28,406.54,2417.7,416.99,2434.49,candidate,visible_geometry_supported,52
D30,30,36,54,45.0,inward,1994.7,34.4,displayed_histogram_count,402.27,2420.23,370.89,2394.54,386.58,2407.39,candidate,visible_geometry_supported,53
D30,30,54,72,63.0,inward,1612.3,35.6,displayed_histogram_count,354.9,2412.55,322.94,2399.22,338.92,2405.89,candidate,visible_geometry_supported,45
D30,30,72,90,81.0,inward,793.7,35.3,displayed_histogram_count,304.94,2444.55,287.5,2442.29,296.22,2443.42,candidate,visible_geometry_supported,23
D30,30,90,108,99.0,outward,745.5,35.3,displayed_histogram_count,287.5,2445.09,271.11,2447.22,279.31,2446.15,candidate,visible_geometry_supported,20
D30,30,108,126,117.0,outward,568.9,35.7,displayed_histogram_count,275.0,2457.0,263.72,2461.7,269.36,2459.35,candidate,visible_geometry_supported,16
D30,30,126,144,135.0,outward,651.9,34.5,displayed_histogram_count,260.25,2457.79,249.99,2466.19,255.12,2461.99,candidate,visible_geometry_supported,18
D30,30,144,162,153.0,outward,466.5,32.2,displayed_histogram_count,260.66,2472.53,255.94,2480.11,258.3,2476.32,candidate,visible_geometry_supported,12
D30,30,162,180,171.0,outward,380.8,35.3,displayed_histogram_count,261.74,2481.65,260.42,2488.5,261.08,2485.07,candidate,visible_geometry_supported,10
D15,15,0,18,9.0,inward,1131.0,15.2,displayed_histogram_count,933.74,2487.5,925.45,2444.79,929.59,2466.14,candidate,visible_geometry_supported,56
D15,15,18,36,27.0,inward,726.2,14.7,displayed_histogram_count,867.85,2460.08,852.41,2435.34,860.13,2447.71,candidate,visible_geometry_supported,38
D15,15,36,54,45.0,inward,1114.2,16.3,displayed_histogram_count,899.37,2407.47,862.49,2377.35,880.93,2392.41,candidate,visible_geometry_supported,63
D15,15,54,72,63.0,inward,540.9,15.9,displayed_histogram_count,812.07,2434.02,789.51,2424.64,800.79,2429.33,candidate,visible_geometry_supported,31
D15,15,72,90,81.0,inward,297.9,18.0,displayed_histogram_count,778.28,2452.88,764.5,2451.09,771.39,2451.99,candidate,visible_geometry_supported,18
D15,15,90,108,99.0,outward,232.5,16.9,displayed_histogram_count,764.5,2459.09,753.75,2460.48,759.13,2459.79,candidate,visible_geometry_supported,14
D15,15,108,126,117.0,outward,205.4,16.5,displayed_histogram_count,755.0,2463.63,746.43,2467.19,750.72,2465.41,candidate,visible_geometry_supported,12
D15,15,126,144,135.0,outward,227.8,16.5,displayed_histogram_count,744.47,2464.98,736.93,2471.14,740.7,2468.06,candidate,visible_geometry_supported,13
D15,15,144,162,153.0,outward,113.0,16.9,displayed_histogram_count,750.82,2479.38,748.42,2483.23,749.62,2481.31,candidate,visible_geometry_supported,8
D15,15,162,180,171.0,outward,188.3,15.6,displayed_histogram_count,737.7,2480.39,736.32,2487.5,737.01,2483.94,candidate,visible_geometry_supported,9
D10,10,0,18,9.0,inward,164.9,3.8,displayed_histogram_count,1295.22,2488.5,1291.13,2467.32,1293.18,2477.91,candidate,visible_geometry_supported,25
D10,10,18,36,27.0,inward,191.7,4.3,displayed_histogram_count,1304.08,2463.87,1290.25,2441.65,1297.16,2452.76,candidate,visible_geometry_supported,34
D10,10,36,54,45.0,inward,210.6,4.8,displayed_histogram_count,1297.99,2437.05,1274.34,2417.68,1286.17,2427.37,candidate,visible_geometry_supported,40
D10,10,54,72,63.0,inward,175.6,4.6,displayed_histogram_count,1263.92,2429.43,1239.06,2419.06,1251.49,2424.25,candidate,visible_geometry_supported,34
D10,10,72,90,81.0,inward,164.8,4.9,displayed_histogram_count,1237.35,2423.36,1211.5,2420.01,1224.43,2421.68,candidate,visible_geometry_supported,32
D10,10,90,108,99.0,outward,184.3,4.6,displayed_histogram_count,1211.5,2411.88,1182.58,2415.63,1197.04,2413.75,candidate,visible_geometry_supported,36
D10,10,108,126,117.0,outward,210.0,4.8,displayed_histogram_count,1178.55,2405.47,1148.83,2417.87,1163.69,2411.67,candidate,visible_geometry_supported,42
D10,10,126,144,135.0,outward,170.7,4.8,displayed_histogram_count,1160.55,2431.09,1141.38,2446.79,1150.97,2438.94,candidate,visible_geometry_supported,32
D10,10,144,162,153.0,outward,175.5,4.5,displayed_histogram_count,1139.4,2445.61,1126.74,2465.95,1133.07,2455.78,candidate,visible_geometry_supported,32
D10,10,162,180,171.0,outward,308.4,4.2,displayed_histogram_count,1062.6,2448.89,1054.94,2488.5,1058.77,2468.69,candidate,visible_geometry_supported,52
