row,column,mean,p_value,source_size_proxy,source_status,pixel_x,pixel_y,visible_radius_px,visible_color,visible_mark,visible_marker,pixel_match_distance,confidence,visible_geometry_status,value_status
Treg_C4_TNFRSF4.DC_C3_LAMP3,ADORA2A_ENTPD1,,,,not_supplied_for_pair,362.756,24.000,3.613,#2b6aa5,dot,true,1.578,0.856,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,BTLA_TNFRSF14,,,,not_supplied_for_pair,391.244,24.000,3.613,#5193bc,dot,true,1.314,0.880,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CD80_CD274,,,,not_supplied_for_pair,420.000,24.000,3.432,#458ab7,dot,true,1.274,0.884,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CTLA4_CD80,1.197,0,1.5,official_source_mapped,448.430,23.965,12.853,#d16a56,circle,true,0.984,0.910,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,CTLA4_CD86,1.58,0,1.5,official_source_mapped,477.051,24.029,12.766,#641121,circle,true,0.939,0.914,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,LGALS9_HAVCR2,0.43,0,1.5,official_source_mapped,505.729,24.018,12.766,#66a2c4,circle,true,0.878,0.920,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,PDCD1_CD274,,,,not_supplied_for_pair,534.375,24.100,3.568,#488db9,dot,true,0.921,0.916,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,PDCD1_PDCD1LG2,,,,not_supplied_for_pair,562.854,24.146,3.613,#3a80b2,dot,true,0.980,0.910,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,TNF_FAS,0.38,0,1.5,official_source_mapped,591.426,23.953,12.729,#5294bd,circle,true,0.882,0.919,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,CD27_CD70,0.984,0,1.5,official_source_mapped,620.033,24.037,12.754,#f1b69a,circle,true,1.064,0.903,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,CD28_CD80,0.68,0,1.5,official_source_mapped,648.728,24.020,12.514,#c6dce8,circle,true,1.123,0.897,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,CD28_CD86,1.062,0,1.5,official_source_mapped,677.167,24.066,12.803,#e99c7d,circle,true,1.425,0.870,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,CD40_TNFSF13B,,,,not_supplied_for_pair,705.872,24.128,3.523,#5c9ac0,dot,true,1.544,0.859,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CD55_ADGRE5,,,,not_supplied_for_pair,734.244,24.000,3.613,#2967a3,dot,true,1.848,0.831,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CD6_ALCAM,0.466,0,1.5,official_source_mapped,762.957,24.062,12.779,#76accb,circle,true,1.960,0.821,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,CSF1_SIRPA,0.363,0,1.5,official_source_mapped,791.485,23.983,12.841,#4c8fba,circle,true,2.185,0.800,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,TNF_ICOS,,,,not_supplied_for_pair,820.075,24.200,3.568,#3a80b2,dot,true,2.469,0.774,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,TNFSF9_TNFRSF9,,,,not_supplied_for_pair,848.800,24.075,3.568,#3478ae,dot,true,2.498,0.772,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CCL22_CCR4,,,,not_supplied_for_pair,877.333,24.000,3.656,#1d5895,dot,true,2.733,0.750,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CCR4_CCL17,,,,not_supplied_for_pair,905.872,24.128,3.523,#77afcc,dot,true,3.028,0.723,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CCR6_CCL20,,,,not_supplied_for_pair,934.590,24.000,3.523,#5797be,dot,true,3.077,0.719,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CCR7_CCL19,,,,not_supplied_for_pair,963.206,24.088,3.290,#f1dacc,dot,true,3.285,0.700,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CXCL10_CXCR3,,,,not_supplied_for_pair,991.447,24.079,3.478,#205f9e,dot,true,3.831,0.650,raster_detected_marker,visible_geometry_extracted
Treg_C4_TNFRSF4.DC_C3_LAMP3,CXCR3_CCL19,1.187,0,1.5,official_source_mapped,1020.230,24.035,12.828,#d46d59,circle,true,3.845,0.649,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,CXCR3_CXCL9,0.825,0,1.5,official_source_mapped,1048.847,24.047,12.476,#eedbd2,circle,true,4.034,0.631,raster_detected_marker,official_source_mapped_and_visible
Treg_C4_TNFRSF4.DC_C3_LAMP3,CXCR6_CXCL16,0.866,0,1.5,official_source_mapped,1077.525,24.052,12.628,#f3d5c5,circle,true,4.162,0.620,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,ADORA2A_ENTPD1,0.218,0,1.5,official_source_mapped,362.626,60.019,12.878,#2c6ba6,circle,true,1.304,0.881,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,BTLA_TNFRSF14,0.369,0,1.5,official_source_mapped,391.405,60.031,12.853,#4d91bb,circle,true,1.282,0.883,raster_detected_marker,official_source_mapped_and_visible
Treg_C3_MKI67.DC_C3_LAMP3,CD80_CD274,0.33,0,1.5,official_source_mapped,419.926,59.934,12.803,#4086b5,circle,true,0.980,0.910,raster_detected_marker,official_source_mapped_and_visible
