record_id,kind,set,tumour_type,value,visible_geometry_status,metric,pixel_y,left_bar_left_px,left_bar_right_px,left_bar_pixel_estimate,pixel_error,intersection,members,count,member_count,pixel_x,bar_top_y_px,bar_bottom_y_px
1,set_total,Pa26T1,LCNEC,170,derived_exact_and_pixel_validated,visible set total,1119.0,348,400,170.1,0.1,,,,,,,
2,set_total,Pa26T2,LUAD,145,derived_exact_and_pixel_validated,visible set total,1140.0,356,400,142.9,-2.1,,,,,,,
3,set_total,Pa29T1,LCNEC,555,derived_exact_and_pixel_validated,visible set total,1161.0,234,400,557.8,2.8,,,,,,,
4,set_total,Pa29T2,LUSC,589,derived_exact_and_pixel_validated,visible set total,1182.0,225,400,588.4,-0.6,,,,,,,
5,set_total,Pa29T4,NSCLC-NOS,537,derived_exact_and_pixel_validated,visible set total,1203.0,240,400,537.4,0.4,,,,,,,
6,set_total,Pa30T1,LCNEC,308,derived_exact_and_pixel_validated,visible set total,1224.5,308,400,306.1,-1.9,,,,,,,
7,set_total,Pa30T2,LUAD,310,derived_exact_and_pixel_validated,visible set total,1245.5,307,400,309.5,-0.5,,,,,,,
8,set_total,Pa31T1,SCLC,150,derived_exact_and_pixel_validated,visible set total,1266.5,354,400,149.7,-0.3,,,,,,,
9,set_total,Pa31T2,LUAD,227,derived_exact_and_pixel_validated,visible set total,1288.0,331,400,227.9,0.9,,,,,,,
10,set_total,Pa33T1,LCNEC,479,derived_exact_and_pixel_validated,visible set total,1309.0,257,400,479.6,0.6,,,,,,,
11,set_total,Pa33T2,LUSC,565,derived_exact_and_pixel_validated,visible set total,1330.0,232,400,564.6,-0.4,,,,,,,
12,set_total,Pa34T1,LCNEC,181,derived_exact_and_pixel_validated,visible set total,1351.0,345,400,180.3,-0.7,,,,,,,
13,set_total,Pa34T2,LUAD,150,derived_exact_and_pixel_validated,visible set total,1372.0,354,400,149.7,-0.3,,,,,,,
14,set_total,Pa35T1,SCLC,904,derived_exact_and_pixel_validated,visible set total,1393.0,132,400,904.8,0.8,,,,,,,
15,set_total,Pa35T2,LUAD,1227,derived_exact_and_pixel_validated,visible set total,1414.0,37,400,1227.9,0.9,,,,,,,
16,set_total,Pa36T1,SCLC,688,derived_exact_and_pixel_validated,visible set total,1435.5,196,400,687.1,-0.9,,,,,,,
17,set_total,Pa36T2,LUSC,691,derived_exact_and_pixel_validated,visible set total,1456.5,195,400,690.5,-0.5,,,,,,,
18,set_total,Pa37T1,LUAD,885,derived_exact_and_pixel_validated,visible set total,1477.5,138,400,884.4,-0.6,,,,,,,
19,set_total,Pa37T2,LCNEC,1080,derived_exact_and_pixel_validated,visible set total,1499.0,80,400,1081.6,1.6,,,,,,,
20,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,1,Pa35T2,998,1,560.5,148,1086
21,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,2,Pa37T1;Pa37T2,802,2,602.0,333,1086
22,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,3,Pa36T1;Pa36T2,684,2,643.5,444,1086
23,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,4,Pa35T1,675,1,684.5,452,1086
24,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,5,Pa29T1;Pa29T2;Pa29T4,500,3,726.0,617,1086
25,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,6,Pa33T1;Pa33T2,441,2,767.5,673,1086
26,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,7,Pa30T1;Pa30T2,287,2,809.0,818,1086
27,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,8,Pa37T2,278,1,850.5,826,1086
28,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,9,Pa35T1;Pa35T2,229,2,891.5,872,1086
29,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,10,Pa33T2,124,1,933.0,971,1086
30,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,11,Pa31T2,117,1,974.5,978,1086
31,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,12,Pa31T1;Pa31T2,110,2,1016.0,984,1086
32,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,13,Pa34T1;Pa34T2,110,2,1057.5,984,1086
33,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,14,Pa26T1;Pa26T2,108,2,1098.5,986,1086
34,intersection,,,,visible_geometry_extracted,printed intersection size,,,,,,15,Pa37T1,83,1,1140.5,1010,1086
