kind,series,category,x,y,value,pixel_x,pixel_y,width,height,fill,value_status
cell,row 1,column 1,1,1,-0.4588,163.0,54.0,68.4,51.25,#4582ba,colourbar_scaled_candidate
cell,row 1,column 2,2,1,-0.5412,230.9,54.0,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 1,column 3,3,1,-0.5412,298.8,54.0,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 1,column 4,4,1,-0.5412,366.7,54.0,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 1,column 5,5,1,-0.5412,434.6,54.0,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 1,column 6,6,1,-0.5412,502.5,54.0,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 1,column 7,7,1,-0.4588,570.4,54.0,68.4,51.25,#4582ba,colourbar_scaled_candidate
cell,row 1,column 8,8,1,-0.5412,638.3,54.0,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 1,column 9,9,1,-0.5412,706.2,54.0,68.4,51.25,#2166ab,colourbar_scaled_candidate
cell,row 1,column 10,10,1,-0.4078,774.1,54.0,68.4,51.25,#66a7ce,colourbar_scaled_candidate
cell,row 1,column 11,11,1,-0.2667,842.0,54.0,68.4,51.25,#99c3dd,colourbar_scaled_candidate
cell,row 1,column 12,12,1,-0.0275,909.9,54.0,68.4,51.25,#edf2f4,colourbar_scaled_candidate
cell,row 1,column 13,13,1,-0.0431,977.8,54.0,68.4,51.25,#e9f0f4,colourbar_scaled_candidate
cell,row 1,column 14,14,1,-0.0275,1045.7,54.0,68.4,51.25,#eef2f5,colourbar_scaled_candidate
cell,row 1,column 15,15,1,-0.0824,1113.6,54.0,68.4,51.25,#dceaf1,colourbar_scaled_candidate
cell,row 1,column 16,16,1,0.5255,1181.5,54.0,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 1,column 17,17,1,0.5255,1249.4,54.0,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 1,column 18,18,1,0.5255,1317.3,54.0,68.4,51.25,#b1182b,colourbar_scaled_candidate
cell,row 1,column 19,19,1,0.5255,1385.2,54.0,68.4,51.25,#b1182b,colourbar_scaled_candidate
