category,series,status,reason,value,start_value,end_value,start_pixel,end_pixel,confidence,error_status,error_lower_value,error_upper_value,error_lower_pixel,error_upper_pixel
G,Methanosarcina,extracted,,46.228710462287104,0.0,46.228710462287104,489.0,299.0,0.998,,,,,
G,Methanocorpusculum,not_extracted,no supported rectangle for this series/category,,,,,,,,,,,
G,Methanobrevibacter,extracted,,20.194647201946474,46.4720194647202,66.66666666666667,298.0,215.0,0.998,,,,,
G,Methanocaldococcus,extracted,,4.136253041362522,66.66666666666667,70.8029197080292,215.0,198.0,0.998,,,,,
G,Methanospirillum,extracted,,0.9732360097323607,71.04622871046229,72.01946472019465,197.0,193.0,0.998,,,,,
G,Methanoculleus,extracted,,5.59610705596107,72.26277372262774,77.85888077858881,192.0,169.0,0.998,,,,,
G,Methanosphaera,extracted,,4.136253041362522,77.85888077858881,81.99513381995133,169.0,152.0,0.998,,,,,
G,Methanohalophilus,extracted,,5.352798053527991,81.99513381995133,87.34793187347933,152.0,130.0,0.998,,,,,
G,Methanococcoides,extracted,,3.8929440389294427,87.5912408759124,91.48418491484185,129.0,113.0,0.998,,,,,
G,Methanococcus,extracted,,1.7031630170316276,91.72749391727494,93.43065693430657,112.0,105.0,0.998,,,,,
G,other,extracted,,6.326034063260337,93.43065693430657,99.7566909975669,105.0,79.0,0.998,,,,,
K,Methanosarcina,extracted,,15.085158150851582,0.0,15.085158150851582,489.0,427.0,0.998,,,,,
K,Methanocorpusculum,extracted,,62.04379562043795,15.085158150851582,77.12895377128953,427.0,172.0,0.998,,,,,
K,Methanobrevibacter,extracted,,1.4598540145985481,77.37226277372262,78.83211678832117,171.0,165.0,0.918,,,,,
K,Methanocaldococcus,extracted,,4.379562043795616,78.83211678832117,83.21167883211679,165.0,147.0,0.998,,,,,
K,Methanospirillum,extracted,,14.355231143552302,83.45498783454988,97.81021897810218,146.0,87.0,0.998,,,,,
K,Methanoculleus,extracted,,0.24330900243309372,98.05352798053528,98.29683698296837,86.0,85.0,0.998,,,,,
K,Methanosphaera,extracted,,0.24330900243309372,98.29683698296837,98.54014598540147,85.0,84.0,0.998,,,,,
K,Methanohalophilus,not_extracted,no supported rectangle for this series/category,,,,,,,,,,,
K,Methanococcoides,extracted,,0.2433090024330795,98.54014598540147,98.78345498783455,84.0,83.0,0.998,,,,,
K,Methanococcus,extracted,,0.7299270072992812,98.78345498783455,99.51338199513383,83.0,80.0,0.998,,,,,
K,other,not_extracted,no supported rectangle for this series/category,,,,,,,,,,,
L,Methanosarcina,extracted,,34.54987834549878,0.0,34.54987834549878,489.0,347.0,0.998,,,,,
L,Methanocorpusculum,extracted,,0.48661800486618034,34.54987834549878,35.03649635036496,347.0,345.0,0.998,,,,,
L,Methanobrevibacter,extracted,,22.141119221411188,35.27980535279806,57.420924574209245,344.0,253.0,0.998,,,,,
L,Methanocaldococcus,extracted,,11.678832116788321,57.66423357664234,69.34306569343066,252.0,204.0,0.998,,,,,
L,Methanospirillum,not_extracted,no supported rectangle for this series/category,,,,,,,,,,,
L,Methanoculleus,extracted,,5.839416058394164,69.34306569343066,75.18248175182482,204.0,180.0,0.998,,,,,
L,Methanosphaera,extracted,,3.8929440389294285,75.18248175182482,79.07542579075425,180.0,164.0,0.967,,,,,
L,Methanohalophilus,extracted,,7.7858880778588855,79.07542579075425,86.86131386861314,164.0,132.0,0.998,,,,,
L,Methanococcoides,extracted,,4.379562043795616,87.10462287104623,91.48418491484185,131.0,113.0,0.967,,,,,
L,Methanococcus,extracted,,3.649635036496349,91.48418491484185,95.1338199513382,113.0,98.0,0.998,,,,,
L,other,extracted,,4.379562043795616,95.37712895377129,99.7566909975669,97.0,79.0,0.998,,,,,
