kind,series,category,x,value,error_lower,error_upper,pixel_x,pixel_y,width,height,fill,stroke,stroke_width,value_status,numeric_use_allowed,x2,y2,radius,marker,pixel_uncertainty
rect,E. coli B36,-,-,30.2092,25.388399999999997,35.03,172.2,392.30504600000006,74,150.69495399999994,#ffffff,#050505,4,derived_candidate_mean_matches_visible_bar,false,,,,,
line,E. coli B36,-,-,30.2092,25.388399999999997,35.03,209.2,368.22515,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,209.2,416.384942,,,
line,E. coli B36,-,-,30.2092,25.388399999999997,35.03,189.2,368.22515,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,229.2,368.22515,,,
line,E. coli B36,-,-,30.2092,25.388399999999997,35.03,189.2,416.384942,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,229.2,416.384942,,,
point,E. coli B36,-,-,35.5423,,,221.3333,365.6667,,,#080808,,,error_line_overlap_candidate,false,,,6,circle,1.5
point,E. coli B36,-,-,34.5413,,,197.3333,370.6667,,,#080808,,,error_line_overlap_candidate,false,,,6,circle,1.5
point,E. coli B36,-,-,31.0712,,,221.0,388.0,,,#080808,,,bar_outline_overlap_candidate,false,,,6,circle,1.5
point,E. coli B36,-,-,31.0712,,,197.0,388.0,,,#080808,,,bar_outline_overlap_candidate,false,,,6,circle,1.5
point,E. coli B36,-,-,25.6658,,,221.0,415.0,,,#080808,,,error_line_overlap_candidate,false,,,6,circle,1.5
point,E. coli B36,-,-,23.3635,,,197.5,426.5,,,#080808,,,visible_marker_candidate,true,,,6,circle,0.75
rect,E. coli B36,+,+,49.3226,37.6888,60.9564,286.5,296.833613,74,246.166387,#ffffff,#050505,4,derived_candidate_mean_matches_visible_bar,false,,,,,
line,E. coli B36,+,+,49.3226,37.6888,60.9564,323.5,238.722782,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,323.5,354.944444,,,
line,E. coli B36,+,+,49.3226,37.6888,60.9564,303.5,238.722782,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,343.5,238.722782,,,
line,E. coli B36,+,+,49.3226,37.6888,60.9564,303.5,354.944444,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,343.5,354.944444,,,
point,E. coli B36,+,+,69.2089,,,323.5,197.5,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
point,E. coli B36,+,+,57.197,,,323.5,257.5,,,#16800f,,,error_line_overlap_candidate,false,,,6,square,1.5
point,E. coli B36,+,+,45.6856,,,335.0,315.0,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
point,E. coli B36,+,+,43.7837,,,311.5,324.5,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
point,E. coli B36,+,+,41.1812,,,323.5,337.5,,,#16800f,,,merged_cluster_candidate,false,,,6,square,1.5
point,E. coli B36,+,+,38.8789,,,323.5,349.0,,,#16800f,,,merged_cluster_candidate,false,,,6,square,1.5
rect,S. aureus BPH2900,-,-,69.392,50.351299999999995,88.4327,714.4,404.55478400000004,74,138.44521599999996,#ffffff,#050505,4,derived_candidate_mean_matches_visible_bar,false,,,,,
line,S. aureus BPH2900,-,-,69.392,50.351299999999995,88.4327,751.4,366.5114654,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,751.4,442.59810260000006,,,
line,S. aureus BPH2900,-,-,69.392,50.351299999999995,88.4327,731.4,366.5114654,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,771.4,366.5114654,,,
line,S. aureus BPH2900,-,-,69.392,50.351299999999995,88.4327,731.4,442.59810260000006,,,,#222222,2,derived_sample_sd_matches_visible_interval,false,771.4,442.59810260000006,,,
point,S. aureus BPH2900,-,-,102.7027,,,751.5,338.0,,,#080808,,,visible_marker_candidate,true,,,6,circle,0.75
point,S. aureus BPH2900,-,-,77.6779,,,751.5,388.0,,,#080808,,,error_line_overlap_candidate,false,,,6,circle,1.5
point,S. aureus BPH2900,-,-,67.1675,,,763.0,409.0,,,#080808,,,bar_outline_overlap_candidate,false,,,6,circle,1.5
point,S. aureus BPH2900,-,-,63.6641,,,739.5,416.0,,,#080808,,,bar_outline_overlap_candidate,false,,,6,circle,1.5
point,S. aureus BPH2900,-,-,56.4903,,,751.3333,430.3333,,,#080808,,,error_line_overlap_candidate,false,,,6,circle,1.5
point,S. aureus BPH2900,-,-,48.6492,,,751.5,446.0,,,#080808,,,error_line_overlap_candidate,false,,,6,circle,1.5
rect,S. aureus BPH2900,+,+,103.078,75.723,130.433,828.5,337.250156,74,205.749844,#ffffff,#050505,4,derived_candidate_mean_matches_visible_bar,false,,,,,
line,S. aureus BPH2900,+,+,103.078,75.723,130.433,865.5,282.594866,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,865.5,391.905446,,,
line,S. aureus BPH2900,+,+,103.078,75.723,130.433,845.5,282.594866,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,885.5,282.594866,,,
line,S. aureus BPH2900,+,+,103.078,75.723,130.433,845.5,391.905446,,,,#4c9746,2,derived_sample_sd_matches_visible_interval,false,885.5,391.905446,,,
point,S. aureus BPH2900,+,+,150.4999,,,865.5,242.5,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
point,S. aureus BPH2900,+,+,120.22,,,865.5,303.0,,,#16800f,,,error_line_overlap_candidate,false,,,6,square,1.5
point,S. aureus BPH2900,+,+,96.6967,,,865.5,350.0,,,#16800f,,,bar_outline_overlap_candidate,false,,,6,square,1.5
point,S. aureus BPH2900,+,+,86.9371,,,856.0,369.5,,,#16800f,,,visible_marker_candidate,true,,,6,square,0.75
