group,series,color,status,reason_code,reason,displayed_value_percent,group_visible_label_sum_percent,label_anchor_x,label_anchor_y,numeric_output_authorized,values_normalized_or_completed,normalized_visible_label_share_validation_only,geometry_share_percent_validation_only,geometry_error_pp
Normal,Normal_KC_Diff,#f6c74f,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,59.5,97.5,1118,542,True,False,61.02564102564103,62.924244594014034,1.8986035683730051
Normal,Tumor_KC_Cyc,#9dcc80,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,16.6,97.5,1227,454,True,False,17.02564102564103,16.153515680939424,0.8721253447016046
Normal,Tumor_KC_Basal,#54caf5,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,18.9,97.5,1248,516,True,False,19.384615384615383,18.946011742803954,0.4386036418114294
Normal,TSK,#ef6633,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,2.5,97.5,1227,592,True,False,2.5641025641025643,1.9762279822425892,0.5878745818599751
AK,Normal_KC_Diff,#f6c74f,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,48.7,90.60000000000001,1327,512,True,False,53.75275938189845,54.79353161998267,1.040772238084223
AK,Tumor_KC_Diff,#799ab9,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,9.2,90.60000000000001,1410,443,True,False,10.154525386313464,9.659254981230147,0.49527040508331766
AK,Tumor_KC_Cyc,#9dcc80,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,3.3,90.60000000000001,1456,469,True,False,3.6423841059602644,3.0753681778804505,0.5670159280798139
AK,Tumor_KC_Basal,#54caf5,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,22.2,90.60000000000001,1490,535,True,False,24.503311258278142,24.92058908460872,0.4172778263305794
AK,TSK,#ef6633,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,7.2,90.60000000000001,1441,594,True,False,7.947019867549668,7.551256136298007,0.39576373125166064
Primary,Normal_KC_Diff,#f6c74f,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,10.3,70.30000000000001,1584,447,True,False,14.651493598862018,14.101646385110952,0.5498472137510664
Primary,Tumor_KC_Diff,#799ab9,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,25.9,70.30000000000001,1720,478,True,False,36.84210526315789,37.16535433070866,0.3232490675507691
Primary,Tumor_KC_Basal,#54caf5,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,17.5,70.30000000000001,1648,616,True,False,24.893314366998574,25.239799570508232,0.3464852035096584
Primary,TSK,#ef6633,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,16.6,70.30000000000001,1572,538,True,False,23.613086770981507,23.493199713672155,0.11988705730935223
MET,Normal_KC_Diff,#f6c74f,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,6.6,73.6,1811,452,True,False,8.967391304347826,8.628571428571428,0.33881987577639805
MET,Normal_KC_Basal,#f1a93e,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,1.8,73.6,1856,443,True,False,2.4456521739130435,1.8428571428571427,0.6027950310559007
MET,Tumor_KC_Diff,#799ab9,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,7.2,73.6,1895,453,True,False,9.782608695652174,9.385714285714286,0.3968944099378877
MET,Tumor_KC_Basal,#54caf5,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,19.6,73.6,1944,538,True,False,26.630434782608702,27.242857142857144,0.6124223602484413
MET,TSK,#ef6633,extracted,visible_label_verified,matching transcriptions and independent annular geometry validation,38.4,73.6,1788,594,True,False,52.173913043478265,52.9,0.7260869565217334
