kind,shape,series,category,value,unit,label_sum,numeric_use_allowed,value_status,pixel_x,pixel_y,radius,fill
point,circle,Normal_KC_Diff,Normal,59.5,percent,97.5,true,visible_printed_label,118.0,122.0,12,#f6c74f
point,circle,Tumor_KC_Cyc,Normal,16.6,percent,97.5,true,visible_printed_label,227.0,34.0,12,#9dcc80
point,circle,Tumor_KC_Basal,Normal,18.9,percent,97.5,true,visible_printed_label,248.0,96.0,12,#54caf5
point,circle,TSK,Normal,2.5,percent,97.5,true,visible_printed_label,227.0,172.0,12,#ef6633
point,circle,Normal_KC_Diff,AK,48.7,percent,90.60000000000001,true,visible_printed_label,327.0,92.0,12,#f6c74f
point,circle,Tumor_KC_Diff,AK,9.2,percent,90.60000000000001,true,visible_printed_label,410.0,23.0,12,#799ab9
point,circle,Tumor_KC_Cyc,AK,3.3,percent,90.60000000000001,true,visible_printed_label,456.0,49.0,12,#9dcc80
point,circle,Tumor_KC_Basal,AK,22.2,percent,90.60000000000001,true,visible_printed_label,490.0,115.0,12,#54caf5
point,circle,TSK,AK,7.2,percent,90.60000000000001,true,visible_printed_label,441.0,174.0,12,#ef6633
point,circle,Normal_KC_Diff,Primary,10.3,percent,70.30000000000001,true,visible_printed_label,584.0,27.0,12,#f6c74f
point,circle,Tumor_KC_Diff,Primary,25.9,percent,70.30000000000001,true,visible_printed_label,720.0,58.0,12,#799ab9
point,circle,Tumor_KC_Basal,Primary,17.5,percent,70.30000000000001,true,visible_printed_label,648.0,196.0,12,#54caf5
point,circle,TSK,Primary,16.6,percent,70.30000000000001,true,visible_printed_label,572.0,118.0,12,#ef6633
point,circle,Normal_KC_Diff,MET,6.6,percent,73.6,true,visible_printed_label,811.0,32.0,12,#f6c74f
point,circle,Normal_KC_Basal,MET,1.8,percent,73.6,true,visible_printed_label,856.0,23.0,12,#f1a93e
point,circle,Tumor_KC_Diff,MET,7.2,percent,73.6,true,visible_printed_label,895.0,33.0,12,#799ab9
point,circle,Tumor_KC_Basal,MET,19.6,percent,73.6,true,visible_printed_label,944.0,118.0,12,#54caf5
point,circle,TSK,MET,38.4,percent,73.6,true,visible_printed_label,788.0,174.0,12,#ef6633
