group,series,color,classified_angle_count,geometry_share_percent,mid_angle_degrees,component_count,status
Normal,TSK,#ef6633,138,1.9762279822425892,44.12500000000001,1,validation_geometry_only
Normal,Tumor_KC_Basal,#54caf5,1323,18.946011742803954,5.300000000000011,1,validation_geometry_only
Normal,Tumor_KC_Cyc,#9dcc80,1128,16.153515680939424,-58.725,1,validation_geometry_only
Normal,Normal_KC_Diff,#f6c74f,4394,62.924244594014034,159.72500000000002,1,validation_geometry_only
AK,TSK,#ef6633,523,7.551256136298007,62.45000000000001,1,validation_geometry_only
AK,Tumor_KC_Diff,#799ab9,669,9.659254981230147,-71.95,1,validation_geometry_only
AK,Tumor_KC_Basal,#54caf5,1726,24.92058908460872,3.675000000000011,1,validation_geometry_only
AK,Tumor_KC_Cyc,#9dcc80,213,3.0753681778804505,-47.09999999999999,1,validation_geometry_only
AK,Normal_KC_Diff,#f6c74f,3795,54.79353161998267,172.9,1,validation_geometry_only
Primary,TSK,#ef6633,1641,23.493199713672155,175.10000000000002,1,validation_geometry_only
Primary,Tumor_KC_Diff,#799ab9,2596,37.16535433070866,-23.77499999999999,1,validation_geometry_only
Primary,Tumor_KC_Basal,#54caf5,1763,25.239799570508232,87.75000000000001,1,validation_geometry_only
Primary,Normal_KC_Diff,#f6c74f,985,14.101646385110952,-116.85000000000001,1,validation_geometry_only
MET,TSK,#ef6633,3703,52.9,135.00000000000003,1,validation_geometry_only
MET,Tumor_KC_Diff,#799ab9,657,9.385714285714286,-73.14999999999999,1,validation_geometry_only
MET,Tumor_KC_Basal,#54caf5,1907,27.242857142857144,-7.049999999999992,1,validation_geometry_only
MET,Normal_KC_Basal,#f1a93e,129,1.8428571428571427,-95.44999999999999,1,validation_geometry_only
MET,Normal_KC_Diff,#f6c74f,604,8.628571428571428,-115.62499999999999,1,validation_geometry_only
