kind,series,category,x,value,pixel_x,pixel_y,radius,fill,confidence,value_status,candidate_value,pixel_uncertainty,value_uncertainty,x2,y2,stroke,stroke_width,shape
point,Spontaneous curvature,visible curve marker,0.0,3.425625,150.285522,335.0,7,#fb8177,0.935,candidate_marker_centre_global_path_v0.2.0,3.425625,1.459601,0.0018245,,,,,circle
point,Spontaneous curvature,visible curve marker,2.5,3.41375,172.503936,344.5,7,#fb8177,0.991333,candidate_marker_centre_global_path_v0.2.0,3.41375,1.2675,0.00158438,,,,,circle
point,Spontaneous curvature,visible curve marker,5.0,3.404375,194.72235,352.0,7,#fb8177,0.98375,candidate_marker_centre_global_path_v0.2.0,3.404375,1.247219,0.00155902,,,,,circle
point,Spontaneous curvature,visible curve marker,7.5,3.396875,216.940764,358.0,7,#fb8177,0.98375,candidate_marker_centre_global_path_v0.2.0,3.396875,1.262337,0.00157792,,,,,circle
point,Spontaneous curvature,visible curve marker,10.0,3.391875,239.159178,362.0,7,#fb8177,0.98375,candidate_marker_centre_global_path_v0.2.0,3.391875,1.247219,0.00155902,,,,,circle
point,Spontaneous curvature,visible curve marker,12.5,3.386875,261.377592,366.0,7,#fb8177,0.98,candidate_marker_centre_global_path_v0.2.0,3.386875,1.172171,0.00146521,,,,,circle
point,Spontaneous curvature,visible curve marker,15.0,3.383125,283.596006,369.0,7,#fb8177,0.944732,candidate_marker_centre_global_path_v0.2.0,3.383125,1.191759,0.0014897,,,,,circle
point,Spontaneous curvature,visible curve marker,17.5,3.380625,305.81442,371.0,7,#fb8177,0.944732,candidate_marker_centre_global_path_v0.2.0,3.380625,1.179013,0.00147377,,,,,circle
point,Spontaneous curvature,visible curve marker,20.0,3.378125,328.032834,373.0,7,#fb8177,0.948957,candidate_marker_centre_global_path_v0.2.0,3.378125,1.191759,0.0014897,,,,,circle
point,Spontaneous curvature,visible curve marker,22.5,3.375625,350.251248,375.0,7,#fb8177,0.98375,candidate_marker_centre_global_path_v0.2.0,3.375625,1.183216,0.00147902,,,,,circle
point,Spontaneous curvature,visible curve marker,25.0,3.373125,372.469662,377.0,7,#fb8177,0.977059,candidate_marker_centre_global_path_v0.2.0,3.373125,1.170739,0.00146342,,,,,circle
point,Spontaneous curvature,visible curve marker,27.5,3.370625,394.688076,379.0,7,#fb8177,0.977059,candidate_marker_centre_global_path_v0.2.0,3.370625,1.143095,0.00142887,,,,,circle
point,Spontaneous curvature,visible curve marker,30.0,3.368125,416.90649,381.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.368125,1.075888,0.00134486,,,,,circle
point,Spontaneous curvature,visible curve marker,32.5,3.365625,439.124904,383.0,7,#fb8177,0.944732,candidate_marker_centre_global_path_v0.2.0,3.365625,1.154701,0.00144338,,,,,circle
point,Spontaneous curvature,visible curve marker,35.0,3.364375,461.343318,384.0,7,#fb8177,0.977059,candidate_marker_centre_global_path_v0.2.0,3.364375,1.154701,0.00144338,,,,,circle
point,Spontaneous curvature,visible curve marker,37.5,3.361875,483.561732,386.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.361875,1.131833,0.00141479,,,,,circle
point,Spontaneous curvature,visible curve marker,40.0,3.360625,505.780146,387.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.360625,1.13555,0.00141944,,,,,circle
point,Spontaneous curvature,visible curve marker,42.5,3.360625,527.99856,387.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.360625,1.143095,0.00142887,,,,,circle
point,Spontaneous curvature,visible curve marker,45.0,3.360625,550.216974,387.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.360625,1.131833,0.00141479,,,,,circle
point,Spontaneous curvature,visible curve marker,47.5,3.360625,572.435388,387.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.360625,1.128152,0.00141019,,,,,circle
point,Spontaneous curvature,visible curve marker,50.0,3.360625,594.653802,387.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.360625,1.139304,0.00142413,,,,,circle
point,Spontaneous curvature,visible curve marker,52.5,3.361875,616.872216,386.0,7,#fb8177,0.990714,candidate_marker_centre_global_path_v0.2.0,3.361875,1.065001,0.00133125,,,,,circle
point,Spontaneous curvature,visible curve marker,55.0,3.363125,639.09063,385.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.363125,1.131833,0.00141479,,,,,circle
point,Spontaneous curvature,visible curve marker,57.5,3.365625,661.309044,383.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.365625,1.139304,0.00142413,,,,,circle
point,Spontaneous curvature,visible curve marker,60.0,3.366875,683.527458,382.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.366875,1.13555,0.00141944,,,,,circle
point,Spontaneous curvature,visible curve marker,62.5,3.369375,705.745872,380.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.369375,1.143095,0.00142887,,,,,circle
point,Spontaneous curvature,visible curve marker,65.0,3.371875,727.964286,378.0,7,#fb8177,0.990714,candidate_marker_centre_global_path_v0.2.0,3.371875,1.061446,0.00132681,,,,,circle
point,Spontaneous curvature,visible curve marker,67.5,3.374375,750.1827,376.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.374375,1.146925,0.00143366,,,,,circle
point,Spontaneous curvature,visible curve marker,70.0,3.376875,772.401114,374.0,7,#fb8177,0.990714,candidate_marker_centre_global_path_v0.2.0,3.376875,1.057925,0.00132241,,,,,circle
point,Spontaneous curvature,visible curve marker,72.5,3.379375,794.619528,372.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.379375,1.13555,0.00141944,,,,,circle
point,Spontaneous curvature,visible curve marker,75.0,3.381875,816.837942,370.0,7,#fb8177,0.966914,candidate_marker_centre_global_path_v0.2.0,3.381875,1.131833,0.00141479,,,,,circle
point,Spontaneous curvature,visible curve marker,77.5,3.385625,839.056356,367.0,7,#fb8177,1.0,candidate_marker_centre_global_path_v0.2.0,3.385625,1.13555,0.00141944,,,,,circle
point,Spontaneous curvature,visible curve marker,80.0,3.389375,861.27477,364.0,7,#fb8177,0.990714,candidate_marker_centre_global_path_v0.2.0,3.389375,1.068593,0.00133574,,,,,circle
