x,x_pixel,rigid
0.0,150.285522,3.46554312
2.5,172.503936,3.45555562
5.0,194.72235,3.44556812
7.5,216.940764,3.43558062
10.0,239.159178,3.42559312
12.5,261.377592,3.4181025
15.0,283.596006,3.40936344
17.5,305.81442,3.40187281
20.0,328.032834,3.39563062
22.5,350.251248,3.38938844
25.0,372.469662,3.38314625
27.5,394.688076,3.3781525
30.0,416.90649,3.37440719
32.5,439.124904,3.37066187
35.0,461.343318,3.368165
37.5,483.561732,3.36441969
40.0,505.780146,3.36317125
42.5,527.99856,3.36192281
45.0,550.216974,3.36067437
47.5,572.435388,3.36067437
50.0,594.653802,3.36192281
52.5,616.872216,3.36317125
55.0,639.09063,3.36441969
57.5,661.309044,3.368165
60.0,683.527458,3.37066187
62.5,705.745872,3.37440719
65.0,727.964286,3.3781525
67.5,750.1827,3.38314625
70.0,772.401114,3.38938844
72.5,794.619528,3.39563062
75.0,816.837942,3.40187281
77.5,839.056356,3.40936344
80.0,861.27477,3.4181025
82.5,883.493184,3.42559312
85.0,905.711598,3.43558062
87.5,927.930012,3.44556812
90.0,950.148426,3.45555562
92.5,972.36684,3.46554312
95.0,994.585254,3.47677906
97.5,1016.803668,3.48926344
100.0,1039.022082,3.50174781
102.5,1061.240496,3.51548063
105.0,1083.45891,3.52921344
107.5,1105.677324,3.54294625
110.0,1127.895738,3.5579275
112.5,1150.114152,3.57290875
115.0,1172.332566,3.58789
117.5,1194.55098,3.57166031
120.0,1216.769394,3.55667906
122.5,1238.987808,3.54169781
125.0,1261.206222,3.52734078
127.5,1283.424636,3.51423219
130.0,1305.64305,3.49925094
132.5,1327.861464,3.488015
135.0,1350.079878,3.47428219
137.5,1372.298292,3.46554312
