series,x,x_pixel,y_pixel,value,candidate_value,status,confidence,pixel_count,vertical_span,horizontal_span,size_support,compactness,path_margin,pixel_uncertainty,value_uncertainty,fill_fraction,dominant_template_index,distance_to_reference_line_px,reason
rigid,0.0,150.285522,1024.0,3.46554312,3.46554312,extracted,0.922022,98,14,9,1.0,0.642857,4.0,1.414214,0.00177436,0.777778,0,11.58,
rigid,2.5,172.503936,1032.0,3.45555562,3.45555562,extracted,0.966914,111,14,14,1.0,1.0,4.0,1.328821,0.00166832,0.566327,0,19.58,
rigid,5.0,194.72235,1040.0,3.44556812,3.44556812,extracted,0.990714,112,14,13,1.0,0.928571,26.005352,1.322876,0.00166094,0.615385,0,27.58,
rigid,7.5,216.940764,1048.0,3.43558062,3.43558062,extracted,1.0,115,14,14,1.0,1.0,31.527532,1.305507,0.00163938,0.586735,0,35.58,
rigid,10.0,239.159178,1056.0,3.42559312,3.42559312,extracted,1.0,114,14,14,1.0,1.0,18.055885,1.31122,0.00164647,0.581633,0,43.58,
rigid,12.5,261.377592,1062.0,3.4181025,3.4181025,extracted,1.0,115,14,14,1.0,1.0,32.647532,1.305507,0.00163938,0.586735,0,49.58,
rigid,15.0,283.596006,1069.0,3.40936344,3.40936344,extracted,0.950154,128,13,15,1.0,0.866667,4.0,1.149049,0.00144534,0.65641,0,56.58,
rigid,17.5,305.81442,1075.0,3.40187281,3.40187281,extracted,0.991333,129,14,15,1.0,0.933333,29.935022,1.232631,0.00154896,0.614286,0,62.58,
rigid,20.0,328.032834,1080.0,3.39563062,3.39563062,extracted,0.991333,129,14,15,1.0,0.933333,25.871779,1.232631,0.00154896,0.614286,0,67.58,
rigid,22.5,350.251248,1085.0,3.38938844,3.38938844,extracted,0.991333,129,14,15,1.0,0.933333,30.575022,1.232631,0.00154896,0.614286,0,72.58,
rigid,25.0,372.469662,1090.0,3.38314625,3.38314625,extracted,0.951202,134,14,16,1.0,0.875,4.0,1.209416,0.00152017,0.598214,0,77.58,
rigid,27.5,394.688076,1094.0,3.3781525,3.3781525,extracted,0.944732,144,14,17,1.0,0.823529,4.0,1.166667,0.00146717,0.605042,0,81.58,
rigid,30.0,416.90649,1097.0,3.37440719,3.37440719,extracted,0.957245,138,13,12,1.0,0.923077,4.0,1.106633,0.0013928,0.884615,0,84.58,
rigid,32.5,439.124904,1100.0,3.37066187,3.37066187,extracted,0.937338,139,13,17,1.0,0.764706,4.0,1.102646,0.00138786,0.628959,0,87.58,
rigid,35.0,461.343318,1102.0,3.368165,3.368165,extracted,0.944732,148,14,17,1.0,0.823529,4.0,1.150793,0.0014475,0.621849,0,89.58,
rigid,37.5,483.561732,1105.0,3.36441969,3.36441969,extracted,0.966914,152,14,14,1.0,1.0,4.0,1.13555,0.00142861,0.77551,0,92.58,
rigid,40.0,505.780146,1106.0,3.36317125,3.36317125,extracted,0.966914,149,14,14,1.0,1.0,4.0,1.146925,0.00144271,0.760204,0,93.58,
rigid,42.5,527.99856,1107.0,3.36192281,3.36192281,extracted,0.957935,151,13,14,1.0,0.928571,4.0,1.057925,0.0013325,0.82967,0,94.58,
rigid,45.0,550.216974,1108.0,3.36067437,3.36067437,extracted,0.966914,154,14,14,1.0,1.0,4.0,1.128152,0.00141945,0.785714,0,95.58,
rigid,47.5,572.435388,1108.0,3.36067437,3.36067437,extracted,0.966914,154,14,14,1.0,1.0,4.0,1.128152,0.00141945,0.785714,0,95.58,
rigid,50.0,594.653802,1107.0,3.36192281,3.36192281,extracted,0.966914,153,14,14,1.0,1.0,4.0,1.131833,0.00142401,0.780612,0,94.58,
rigid,52.5,616.872216,1106.0,3.36317125,3.36317125,extracted,0.966914,154,14,14,1.0,1.0,4.0,1.128152,0.00141945,0.785714,0,93.58,
rigid,55.0,639.09063,1105.0,3.36441969,3.36441969,extracted,0.966914,150,14,14,1.0,1.0,4.0,1.143095,0.00143796,0.765306,0,92.58,
rigid,57.5,661.309044,1102.0,3.368165,3.368165,extracted,0.966914,155,14,14,1.0,1.0,4.0,1.124507,0.00141494,0.790816,0,89.58,
