x,x_pixel,spontaneous_curvature
0.0,150.285522,3.425625
2.5,172.503936,3.41375
5.0,194.72235,3.404375
7.5,216.940764,3.396875
10.0,239.159178,3.391875
12.5,261.377592,3.386875
15.0,283.596006,3.383125
17.5,305.81442,3.380625
20.0,328.032834,3.378125
22.5,350.251248,3.375625
25.0,372.469662,3.373125
27.5,394.688076,3.370625
30.0,416.90649,3.368125
32.5,439.124904,3.365625
35.0,461.343318,3.364375
37.5,483.561732,3.361875
40.0,505.780146,3.360625
42.5,527.99856,3.360625
45.0,550.216974,3.360625
47.5,572.435388,3.360625
50.0,594.653802,3.360625
52.5,616.872216,3.361875
55.0,639.09063,3.363125
57.5,661.309044,3.365625
60.0,683.527458,3.366875
62.5,705.745872,3.369375
65.0,727.964286,3.371875
67.5,750.1827,3.374375
70.0,772.401114,3.376875
72.5,794.619528,3.379375
75.0,816.837942,3.381875
77.5,839.056356,3.385625
80.0,861.27477,3.389375
82.5,883.493184,3.394375
85.0,905.711598,3.400625
87.5,927.930012,3.409375
90.0,950.148426,3.420625
92.5,972.36684,3.434375
95.0,994.585254,3.450625
97.5,1016.803668,3.469375
100.0,1039.022082,3.491875
102.5,1061.240496,3.516875
105.0,1083.45891,3.543125
107.5,1105.677324,3.568125
110.0,1127.895738,3.596875
112.5,1150.114152,3.629375
115.0,1172.332566,3.668125
117.5,1194.55098,3.644375
120.0,1216.769394,3.60875
122.5,1238.987808,3.579375
125.0,1261.206222,3.553125
127.5,1283.424636,3.526875
130.0,1305.64305,3.501875
132.5,1327.861464,3.475625
135.0,1350.079878,3.455625
137.5,1372.298292,3.439375
