x,x_pixel,surface_reconstruction
0.0,150.285522,3.50711603
2.5,172.503936,3.48589279
5.0,194.72235,3.46966325
7.5,216.940764,3.45343372
10.0,239.159178,3.43720418
12.5,261.377592,3.4234715
15.0,283.596006,3.41098724
17.5,305.81442,3.39975141
20.0,328.032834,3.389764
22.5,350.251248,3.38227344
25.0,372.469662,3.37478289
27.5,394.688076,3.36854076
30.0,416.90649,3.36479548
32.5,439.124904,3.35980178
35.0,461.343318,3.3560565
37.5,483.561732,3.35231122
40.0,505.780146,3.34981437
42.5,527.99856,3.34856595
45.0,550.216974,3.34731752
47.5,572.435388,3.34731752
50.0,594.653802,3.34856595
52.5,616.872216,3.3510628
55.0,639.09063,3.35480808
57.5,661.309044,3.35855335
60.0,683.527458,3.36229863
62.5,705.745872,3.36729233
65.0,727.964286,3.37228604
67.5,750.1827,3.37852817
70.0,772.401114,3.38601872
72.5,794.619528,3.3947577
75.0,816.837942,3.40599353
77.5,839.056356,3.41847779
80.0,861.27477,3.43221048
82.5,883.493184,3.44656737
85.0,905.711598,3.4621727
87.5,927.930012,3.47840223
90.0,950.148426,3.49588019
92.5,972.36684,3.51335816
95.0,994.585254,3.53208454
97.5,1016.803668,3.54956251
100.0,1039.022082,3.56828889
102.5,1061.240496,3.58576685
105.0,1083.45891,3.60324482
107.5,1105.677324,3.62072278
110.0,1127.895738,3.63820074
112.5,1150.114152,3.65692713
115.0,1172.332566,3.67690194
117.5,1194.55098,3.66566611
120.0,1216.769394,3.64693972
122.5,1238.987808,3.62821333
125.0,1261.206222,3.61073537
127.5,1283.424636,3.59325741
130.0,1305.64305,3.57515523
132.5,1327.861464,3.55705306
135.0,1350.079878,3.5395751
137.5,1372.298292,3.52209714
