kind,series,category,x,value,pixel_x,pixel_y,width,height,fill,stroke,stroke_width,value_status
rect,Upregulated,NSC,NSC,225,233,76,307,18,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,NSC,NSC,260,545,75,325,20,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Neuroblast,Neuroblast,102,233,117,136,17,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Neuroblast,Neuroblast,165,374,116,223,19,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Astrocyte,Astrocyte,140,233,157,189,18,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Astrocyte,Astrocyte,125,428,156,168,20,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,TAP,TAP,63,233,198,82,17,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,TAP,TAP,66,320,197,87,19,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Ependymal,Ependymal,87,233,238,116,18,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Ependymal,Ependymal,40,355,238,50,19,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Neuron,Neuron,20,233,279,22,18,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Neuron,Neuron,50,260,279,61,19,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,OPC,OPC,20,233,320,29,18,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,OPC,OPC,15,268,320,11,19,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Endothelia,Endothelia,14,233,361,12,18,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Endothelia,Endothelia,20,251,360,20,19,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Oligodendrocyte,Oligodendrocyte,13,233,401,4,18,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Oligodendrocyte,Oligodendrocyte,10,243,401,15,19,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Pericyte,Pericyte,10,233,443,2,17,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Pericyte,Pericyte,8,241,442,8,19,#0095fe,#222,2,visible_stacked_segment_candidate
rect,Upregulated,Microglia,Microglia,8,233,483,7,17,#ff2600,#222,2,visible_stacked_segment_candidate
rect,Downregulated,Microglia,Microglia,4,241,483,7,18,#0095fe,#222,2,border_occluded_stacked_segment_candidate
