record_id,kind,panel,series,point_index,x,value,sem,metric,source_status
1,point,A_tuning,small image,1,0.14,0.2241745631811978,0.005960679652147102,correlations (r_sc),official_source_data_mapped
2,point,A_tuning,small image,2,0.44,0.1761241275751552,0.001739445844696543,correlations (r_sc),official_source_data_mapped
3,point,A_tuning,small image,3,0.77,0.119725541928123,0.001754302587875313,correlations (r_sc),official_source_data_mapped
4,point,A_tuning,small image,4,1.08,0.1137721796597111,0.0109154763594801,correlations (r_sc),official_source_data_mapped
5,point,A_tuning,large image,1,0.14,0.1953071994132005,0.006448959257308662,correlations (r_sc),official_source_data_mapped
6,point,A_tuning,large image,2,0.44,0.1195266918396052,0.001721711276007194,correlations (r_sc),official_source_data_mapped
7,point,A_tuning,large image,3,0.77,0.08029128061517951,0.001714460592608755,correlations (r_sc),official_source_data_mapped
8,point,A_tuning,large image,4,1.08,0.04867256190955838,0.01079645007824035,correlations (r_sc),official_source_data_mapped
9,point,A_distance,small image,1,0.21,0.1852446546486995,0.001841854725337931,correlations (r_sc),official_source_data_mapped
10,point,A_distance,small image,2,0.55,0.1257665593879184,0.001633537469439294,correlations (r_sc),official_source_data_mapped
11,point,A_distance,small image,3,0.92,0.09874293655386834,0.006790615613224919,correlations (r_sc),official_source_data_mapped
12,point,A_distance,large image,1,0.21,0.1291678969390289,0.001840572529414147,correlations (r_sc),official_source_data_mapped
13,point,A_distance,large image,2,0.55,0.08342508109074252,0.001599760042695838,correlations (r_sc),official_source_data_mapped
14,point,A_distance,large image,3,0.92,0.07828307590369744,0.006763850810290882,correlations (r_sc),official_source_data_mapped
15,point,B_tuning,small image,2,0.42,0.07129335147728605,0.01777942041778007,correlations (r_sc),official_source_data_mapped
16,point,B_tuning,small image,3,0.76,0.04160931576011299,0.003826742850020122,correlations (r_sc),official_source_data_mapped
17,point,B_tuning,small image,4,1.08,0.03239385392941477,0.006077741952767689,correlations (r_sc),official_source_data_mapped
18,point,B_tuning,large image,2,0.42,0.127777904059561,0.0167573412394556,correlations (r_sc),official_source_data_mapped
19,point,B_tuning,large image,3,0.76,0.08071925397441133,0.003722257292467286,correlations (r_sc),official_source_data_mapped
20,point,B_tuning,large image,4,1.08,0.06931014624218465,0.006241365234840271,correlations (r_sc),official_source_data_mapped
21,point,B_distance,small image,1,0.22,0.09434895098522735,0.03079695801558896,correlations (r_sc),official_source_data_mapped
22,point,B_distance,small image,2,0.55,0.05530386084935848,0.006748362662709094,correlations (r_sc),official_source_data_mapped
23,point,B_distance,small image,3,0.93,0.04046032799171752,0.004473409956009876,correlations (r_sc),official_source_data_mapped
24,point,B_distance,small image,4,1.37,0.02297760359156416,0.006238104750844747,correlations (r_sc),official_source_data_mapped
25,point,B_distance,large image,1,0.22,0.1375347081029611,0.02989545195988944,correlations (r_sc),official_source_data_mapped
26,point,B_distance,large image,2,0.55,0.1002586093854438,0.006481596668279928,correlations (r_sc),official_source_data_mapped
27,point,B_distance,large image,3,0.93,0.07328388505314223,0.004441532551769002,correlations (r_sc),official_source_data_mapped
28,point,B_distance,large image,4,1.37,0.06891300410757455,0.006215137551727359,correlations (r_sc),official_source_data_mapped
