figure,pdf_page_1_based,panel_id,statistic,year,bar_series,bar_value_usd_per_mwh,bar_x_center_pt,bar_top_y_pt,bar_bottom_y_pt,line_series,line_value_usd_per_mwh,line_marker_x_pt,line_marker_y_pt,bar_status,line_status,claim_scope
Fig. 3,4,median_left,median,2012,median link's mean RT transmission market value,11.221793,106.894001,146.905029,224.852051,median wholesale electricity RT price,30.435621,106.893997,149.349541,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2013,median link's mean RT transmission market value,10.338125,122.264,153.04303,224.852051,median wholesale electricity RT price,38.087202,122.264,130.368034,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2014,median link's mean RT transmission market value,13.71443,137.633003,129.591064,224.852051,median wholesale electricity RT price,41.147584,137.632996,122.776054,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2015,median link's mean RT transmission market value,10.008585,153.002998,155.332031,224.852051,median wholesale electricity RT price,28.778657,153.002998,153.460022,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2016,median link's mean RT transmission market value,9.28832,168.372505,160.335022,224.852051,median wholesale electricity RT price,25.628571,168.371994,161.274536,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2017,median link's mean RT transmission market value,10.48022,183.741997,152.05603,224.852051,median wholesale electricity RT price,27.111415,183.742012,157.596001,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2018,median link's mean RT transmission market value,11.744675,199.112007,143.273071,224.852051,median wholesale electricity RT price,28.790741,199.112,153.430046,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2019,median link's mean RT transmission market value,8.74268,214.481499,164.125061,224.852051,median wholesale electricity RT price,25.244814,214.481491,162.226532,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2020,median link's mean RT transmission market value,8.053653,229.851006,168.911072,224.852051,median wholesale electricity RT price,20.521016,229.850998,173.945,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2021,median link's mean RT transmission market value,13.105884,245.221001,133.818054,224.852051,median wholesale electricity RT price,32.138149,245.220993,145.12603,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,median_left,median,2022,median link's mean RT transmission market value,22.005344,260.590988,72.002014,224.852051,median wholesale electricity RT price,51.391362,260.590515,97.364006,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2012,mean link's mean RT transmission market value,11.211565,347.574997,146.976074,224.852051,mean wholesale electricity RT price,35.379933,347.575012,137.084038,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2013,mean link's mean RT transmission market value,12.077677,362.943985,140.960022,224.852051,mean wholesale electricity RT price,44.441774,362.944489,114.604057,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2014,mean link's mean RT transmission market value,15.788997,378.31398,115.18103,224.852051,mean wholesale electricity RT price,51.852903,378.313995,96.219048,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2015,mean link's mean RT transmission market value,11.264982,393.684006,146.605042,224.852051,mean wholesale electricity RT price,33.680432,393.68399,141.300041,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2016,mean link's mean RT transmission market value,9.914282,409.053513,155.987061,224.852051,mean wholesale electricity RT price,29.434521,409.053497,151.833,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2017,mean link's mean RT transmission market value,11.91053,424.422989,142.121033,224.852051,mean wholesale electricity RT price,32.452578,424.423004,144.346016,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2018,mean link's mean RT transmission market value,20.938835,439.792984,79.410034,224.852051,mean wholesale electricity RT price,47.869415,439.792999,106.101006,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2019,mean link's mean RT transmission market value,13.718894,455.16301,129.560059,224.852051,mean wholesale electricity RT price,36.184942,455.162994,135.087029,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2020,mean link's mean RT transmission market value,11.171549,470.531998,147.254028,224.852051,mean wholesale electricity RT price,26.903193,470.532013,158.112541,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2021,mean link's mean RT transmission market value,23.090271,485.901993,64.466064,224.852051,mean wholesale electricity RT price,57.145307,485.900986,83.090023,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
Fig. 3,4,mean_right,mean,2022,mean link's mean RT transmission market value,24.737832,501.270981,53.022034,224.852051,mean wholesale electricity RT price,63.940091,501.270996,66.233999,vector_rectangle_extracted,vector_marker_extracted,visible plotted annual summary only
