panel_id,metric,unit,scenario,category,case_status,detector_report_status,detector_mark_status,numeric_output_authorized,unauthorized_reason,value,start_value,end_value,start_pixel,end_pixel,confidence,error_status,error_lower_value,error_upper_value,error_lower_pixel,error_upper_pixel,displayed_statistic,interval_semantics,source_report
fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,degC per percent change,NfN-SSP1,CropR to Grass,partial_visible,candidate,extracted,true,,0.0020899053627760258,0.0,0.0020899053627760258,693.0,912.0,0.995,extracted,0.0019858044164037855,0.0022034700315457416,901.0,924.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/left-01-cropr-to-grass-report.json
fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,degC per percent change,NfN-SSP1,CropR to Bare,partial_visible,candidate,extracted,true,,0.0016829652996845426,0.0,0.0016829652996845426,693.0,869.0,0.986,extracted,0.00145583596214511,0.0019574132492113563,845.0,898.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/left-02-cropr-to-bare-report.json
fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,degC per percent change,NfN-SSP1,TreeBL to Grass,partial_visible,candidate,extracted,true,,0.0014936908517350156,0.0,0.0014936908517350156,693.0,849.0,0.986,extracted,0.0012760252365930603,0.001787066246056782,826.0,880.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/left-03-treebl-to-grass-report.json
fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,degC per percent change,NfN-SSP1,TreeBL to CropR,partial_visible,low_confidence,low_confidence,false,report-level low_confidence; no row from this invocation is authorized,,,,,,,,,,,,mean across 200 ridge fits,,extraction/left-04-treebl-to-cropr-report.json
fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,degC per percent change,NfN-SSP1,TreeNL to Grass,partial_visible,candidate,extracted,true,,-0.001222397476340694,0.0,-0.001222397476340694,690.0,562.0,0.979,extracted,-0.001591482649842271,-0.0009668769716088326,523.0,589.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/left-05-treenl-to-grass-report.json
fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,degC per percent change,NfN-SSP1,Shrub to CropR,partial_visible,candidate,extracted,true,,-0.002159305993690852,0.0,-0.002159305993690852,690.0,463.0,0.96,extracted,-0.003389589905362776,-0.001222397476340694,333.0,562.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/left-06-shrub-to-cropr-report.json
fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,degC per percent change,NfN-SSP1,Shrub to Grass,partial_visible,candidate,extracted,true,,-0.003134069400630915,0.0,-0.003134069400630915,690.0,360.0,0.977,extracted,-0.0039384858044164035,-0.0023675078864353314,275.0,441.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/left-07-shrub-to-grass-report.json
fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,degC per percent change,NfN-SSP1,TreeNL to CropR,partial_visible,candidate,extracted,true,,-0.0034558359621451105,0.0,-0.0034558359621451105,690.0,326.0,0.987,extracted,-0.004089905362776025,-0.0030205047318611986,259.0,372.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/left-08-treenl-to-cropr-report.json
fig8a-regional-contribution,Contribution to the regional temperature response,degC,NfN-SSP1,CropR to Grass,partial_visible,candidate,extracted,true,,0.0013689095127610213,0.0,0.0013689095127610213,1656.0,1949.0,0.995,extracted,0.0012993039443155454,0.0014431554524361946,1934.0,1965.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/right-01-cropr-to-grass-report.json
fig8a-regional-contribution,Contribution to the regional temperature response,degC,NfN-SSP1,TreeBL to Grass,partial_visible,candidate,extracted,true,,0.0007517401392111368,0.0,0.0007517401392111368,1656.0,1816.0,0.986,extracted,0.000645011600928074,0.000900232018561485,1793.0,1848.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/right-02-treebl-to-grass-report.json
fig8a-regional-contribution,Contribution to the regional temperature response,degC,NfN-SSP1,CropR to Bare,partial_visible,candidate,extracted,true,,0.00023201856148491874,0.0,0.00023201856148491874,1656.0,1704.0,0.986,extracted,0.00020417633410672853,0.0002691415313225058,1698.0,1712.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/right-03-cropr-to-bare-report.json
fig8a-regional-contribution,Contribution to the regional temperature response,degC,NfN-SSP1,TreeNL to Grass,partial_visible,candidate,extracted,true,,-0.000320185614849188,0.0,-0.000320185614849188,1653.0,1585.0,0.979,extracted,-0.00041763341067285384,-0.0002552204176334107,1564.0,1599.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/right-04-treenl-to-grass-report.json
fig8a-regional-contribution,Contribution to the regional temperature response,degC,NfN-SSP1,Shrub to Grass,partial_visible,candidate,extracted,true,,-0.0003573085846867749,0.0,-0.0003573085846867749,1653.0,1577.0,0.977,extracted,-0.0004547563805104408,-0.0002784222737819026,1556.0,1594.0,mean across 200 ridge fits,2.5th-97.5th bootstrap percentiles,extraction/right-05-shrub-to-grass-report.json
fig8a-regional-contribution,Contribution to the regional temperature response,degC,NfN-SSP1,TreeBL to CropR,partial_visible,low_confidence,low_confidence,false,report-level low_confidence; no row from this invocation is authorized,,,,,,,,,,,,mean across 200 ridge fits,,extraction/right-06-treebl-shrub-to-cropr-report.json
