kind,shape,panel,series,category,scenario,unit,value,error_lower,error_upper,error_status,error_lower_pixel,error_upper_pixel,confidence,numeric_use_allowed,value_status,reason,pixel_x,pixel_y,width,height,fill
rect,rect,fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,CropR to Grass,NfN-SSP1,degC per percent change,0.0020899053627760258,0.0019858044164037855,0.0022034700315457416,extracted,901.0,924.0,0.995,true,visible_bar_with_interval,,693.0,47.5,219.0,18,#67001f
rect,rect,fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,CropR to Bare,NfN-SSP1,degC per percent change,0.0016829652996845426,0.00145583596214511,0.0019574132492113563,extracted,845.0,898.0,0.986,true,visible_bar_with_interval,,693.0,82.0,176.0,18,#ae172a
rect,rect,fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,TreeBL to Grass,NfN-SSP1,degC per percent change,0.0014936908517350156,0.0012760252365930603,0.001787066246056782,extracted,826.0,880.0,0.986,true,visible_bar_with_interval,,693.0,117.0,156.0,18,#c13639
rect,rect,fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,TreeBL to CropR,NfN-SSP1,degC per percent change,,,,,,,,false,not_extracted,report-level low_confidence; no row from this invocation is authorized,,,,,#e7f0f4
rect,rect,fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,TreeNL to Grass,NfN-SSP1,degC per percent change,-0.001222397476340694,-0.001591482649842271,-0.0009668769716088326,extracted,523.0,589.0,0.979,true,visible_bar_with_interval,,562.0,186.0,128.0,18,#a0cce2
rect,rect,fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,Shrub to CropR,NfN-SSP1,degC per percent change,-0.002159305993690852,-0.003389589905362776,-0.001222397476340694,extracted,333.0,562.0,0.96,true,visible_bar_with_interval,,463.0,221.0,227.0,18,#3e8cbf
rect,rect,fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,Shrub to Grass,NfN-SSP1,degC per percent change,-0.003134069400630915,-0.0039384858044164035,-0.0023675078864353314,extracted,275.0,441.0,0.977,true,visible_bar_with_interval,,360.0,256.0,330.0,18,#114781
rect,rect,fig8a-temperature-sensitivity,Temperature sensitivity in grid cells,TreeNL to CropR,NfN-SSP1,degC per percent change,-0.0034558359621451105,-0.004089905362776025,-0.0030205047318611986,extracted,259.0,372.0,0.987,true,visible_bar_with_interval,,326.0,290.0,364.0,18,#053061
rect,rect,fig8a-regional-contribution,Contribution to the regional temperature response,CropR to Grass,NfN-SSP1,degC,0.0013689095127610213,0.0012993039443155454,0.0014431554524361946,extracted,1934.0,1965.0,0.995,true,visible_bar_with_interval,,1656.0,47.5,293.0,18,#67001f
rect,rect,fig8a-regional-contribution,Contribution to the regional temperature response,TreeBL to Grass,NfN-SSP1,degC,0.0007517401392111368,0.000645011600928074,0.000900232018561485,extracted,1793.0,1848.0,0.986,true,visible_bar_with_interval,,1656.0,82.0,160.0,18,#dd7059
rect,rect,fig8a-regional-contribution,Contribution to the regional temperature response,CropR to Bare,NfN-SSP1,degC,0.00023201856148491874,0.00020417633410672853,0.0002691415313225058,extracted,1698.0,1712.0,0.986,true,visible_bar_with_interval,,1656.0,117.0,48.0,18,#fcdfcf
rect,rect,fig8a-regional-contribution,Contribution to the regional temperature response,TreeNL to Grass,NfN-SSP1,degC,-0.000320185614849188,-0.00041763341067285384,-0.0002552204176334107,extracted,1564.0,1599.0,0.979,true,visible_bar_with_interval,,1585.0,152.0,68.0,18,#c5dfec
rect,rect,fig8a-regional-contribution,Contribution to the regional temperature response,Shrub to Grass,NfN-SSP1,degC,-0.0003573085846867749,-0.0004547563805104408,-0.0002784222737819026,extracted,1556.0,1594.0,0.977,true,visible_bar_with_interval,,1577.0,186.0,76.0,18,#bddbea
rect,rect,fig8a-regional-contribution,Contribution to the regional temperature response,TreeBL to CropR,NfN-SSP1,degC,,,,,,,,false,not_extracted,report-level low_confidence; no row from this invocation is authorized,,,,,#b1d5e7
rect,rect,fig8a-regional-contribution,Contribution to the regional temperature response,Shrub to CropR,NfN-SSP1,degC,,,,,,,,false,not_extracted,report-level low_confidence; no row from this invocation is authorized,,,,,#b1d5e7
rect,rect,fig8a-regional-contribution,Contribution to the regional temperature response,TreeNL to CropR,NfN-SSP1,degC,-0.001382830626450116,-0.0016380510440835267,-0.001211136890951276,extracted,1301.0,1393.0,0.988,true,visible_bar_with_interval,,1356.0,290.0,297.0,18,#053061
