trait,estimate,ci_low,ci_high,estimate_x_pixel,row_y_pixel,ci_left_pixel,ci_right_pixel,sampled_rgb,confidence
Vitamin D,0.35294,0.13971,0.5625,265,10,207,322,#462224,1.0
Monocytes,0.45588,0.26103,0.64706,293,24,240,345,#582c39,1.0
Lymphocytes,0.52206,0.37868,0.66544,311,38,272,350,#ea9169,0.993
Random glucose,0.52574,0.375,0.67279,312,51,271,352,#e48060,1.0
Neutrophils,0.55147,0.32353,0.77574,319,66,257,380,#504259,1.0
HbA1c,0.59191,0.48529,0.69853,330,79,301,359,#f6ffc2,0.768
WBC count,0.59926,0.45956,0.73897,332,93,294,370,#3c111b,0.985
Eosinophils,0.61397,0.44118,0.78676,336,106,289,383,#836d84,1.0
MCH,0.66176,0.47059,0.85294,349,121,297,401,#10021c,1.0
Platelets,0.70221,0.60662,0.79779,360,135,334,386,#da7269,0.895
MCV,0.70221,0.51471,0.88971,360,149,309,411,#271a34,1.0
Phosphate,0.72426,0.55515,0.89338,366,162,320,412,#241b30,1.0
RDW,0.73529,0.61765,0.85294,369,177,337,401,#5e445f,0.94
Total cholesterol,0.74632,0.60294,0.88971,372,191,333,411,#4f4359,0.993
RBC count,0.75735,0.61029,0.90809,375,203,335,416,#9787a1,1.0
LDL,0.77206,0.68015,0.86029,379,218,354,403,#2e0c1d,0.884
Total protein,0.78309,0.66544,0.90074,382,232,350,414,#13051c,0.94
Urea,0.81618,0.70956,0.92279,391,246,362,420,#14071b,0.918
Creatinine,0.84559,0.75735,0.93382,399,259,375,423,#5f516a,0.88
CRP,0.86029,0.71324,1.01838,403,274,363,446,#1c1922,1.0
Albumin,0.86765,0.67647,1.05515,405,287,353,456,#1b1a1f,1.0
Haemoglobin,0.87132,0.66544,1.08456,406,301,350,464,#131217,1.0
HDL,0.91544,0.82721,1.00368,418,315,394,442,#17141d,0.88
ALT,0.94485,0.85294,1.03676,426,329,401,451,#06050b,0.888
Triglycerides,0.97059,0.86765,1.07353,433,342,405,461,#757479,0.91
Calcium,0.99632,0.86029,1.13971,440,355,403,479,#ababad,0.985
Bilirubin,1.10662,0.73897,1.46691,470,371,370,568,#0d0d0f,1.0
Haematocrit,1.13603,0.88603,1.38603,478,385,410,546,#0b0b0d,1.0
ALP,1.23162,1.06618,1.39706,504,398,459,549,#403a54,1.0
