plot_code,edge_distance_m,edge_effects,agb_change,weighted_agb_change,monitoring_length_years,panel_a_visible,source_x_pixel,source_y_pixel,nearest_ink_distance_px,raster_supported_5px
AND-01,428,yes,4.2,4.32,22.28,True,144.686,89.2,5.0,True
BAD-01,303,yes,1.3,1.32,21.24,True,122.874,144.3,4.123,True
BEL-01,2676,no,3.25,3.39,23.26,False,536.962,107.25,,
BEL-03,2675,no,-2.73,-2.84,23.17,False,536.788,220.87,,
BEL-04,3251,no,1.49,1.55,23.18,False,637.299,140.69,,
BEL-10,2402,no,0.14,0.15,23.03,False,489.149,166.34,,
BEL-19,9032,no,0.2,0.21,23.4,False,1646.084,165.2,,
BEL-20,4311,no,-4.98,-5.18,23.03,False,822.269,263.62,,
BEL-30,4075.3,no,3.98,2.8,7.12,False,781.14,93.38,,
BKO-01,808,no,2.15,2.85,47.9,True,210.996,128.15,2.0,True
BKO-02,1021,no,3.33,4.42,47.91,True,248.165,105.73,1.0,True
BKO-03,1299,no,1.89,2.51,47.9,True,296.675,133.09,2.0,True
BKO-04,480,no,2.51,3.33,47.89,True,153.76,121.31,8.0,False
BRT-01,424.9,yes,0.76,0.43,3.81,True,144.145,154.56,8.0,False
BUL-10,3241.4,no,-0.77,-0.78,21.65,False,635.624,183.63,,
BUL-22,3442,no,2.96,2.97,20.72,False,670.629,112.76,,
BUL-41,2496,no,3.19,2.92,15.7,False,505.552,108.39,,
BUL-42,2052,no,1.18,1.1,16.74,False,428.074,146.58,,
BUL-43,2896,no,3.81,3.49,15.73,False,575.352,96.61,,
BUL-44,3208,no,1.51,1.54,21.71,False,629.796,140.31,,
BUL-45,3100.6,no,-0.31,-0.31,20.04,False,611.055,174.89,,
DAN-01,871,no,2.68,1.92,7.58,True,221.989,118.08,0.0,True
DAN-02,1695,no,-6.27,-4.51,7.61,True,365.777,288.13,32.0,False
DAN-03,2058,no,4.2,3.02,7.65,False,429.121,89.2,,
GMU-01,379,yes,-2.61,-3.1,34.32,True,136.135,218.59,3.0,True
GMU-02,3549,no,2.54,3.01,34.3,False,689.301,120.74,,
GMU-03,7003,no,-0.23,-0.27,34.25,False,1292.024,173.37,,
GMU-04,7041,no,-2.62,-3.11,34.26,False,1298.655,218.78,,
ITT-72,519.9,no,0.91,0.84,16.07,True,160.723,151.71,0.0,True
ITU-76,507.7,no,-0.04,-0.05,37.52,True,158.594,169.76,9.22,False
ITV-76,372.8,yes,0.8,0.74,16,True,135.054,153.8,4.0,True
ITW-76,257.7,yes,-0.04,-0.04,15.99,True,114.969,169.76,7.616,False
ITX-71,385.2,yes,2.82,2.61,16.34,True,137.217,115.42,5.385,False
ITY-76,2481.3,no,2.8,2.58,16.07,False,502.987,115.8,,
ITZ-76,2481.3,no,1.58,1.46,16.07,False,502.987,138.98,,
KIS-07,282,yes,-5.7,-4.1,7.64,True,119.209,277.3,21.213,False
KIU-07,481,no,1.51,1.08,7.58,True,153.935,140.31,2.236,True
LAM-02,141.4,yes,-5.04,-6.65,47.18,True,94.674,264.76,15.0,False
LAM-03,578.8,no,-0.49,-0.65,47.25,True,171.001,178.31,9.0,False
LAM-04,1026.1,no,1.67,2.21,47.24,True,249.054,137.27,6.0,False
LAM-05,725.9,no,0.6,0.79,47.24,True,196.67,157.6,14.142,False
LAM-06,923,no,-0.39,-0.39,20.65,True,231.064,176.41,13.0,False
LAM-07,191,yes,-2.29,-2.34,22.01,True,103.329,212.51,11.0,False
MER-02,908.4,no,2.08,2.41,31.88,True,228.516,129.48,1.0,True
MER-05,1174,no,-0.55,-0.64,31.88,True,274.863,179.45,11.0,False
MER-10,1719.3,no,3.14,3.64,31.89,True,370.018,109.34,19.0,False
MER-11,1846.5,no,1.34,1.55,31.89,True,392.214,143.54,6.403,False
MER-14,1705,no,0.23,0.27,31.89,True,367.522,164.63,1.0,True
SEP-04,414.4,yes,2.67,2.32,13.51,True,142.313,118.27,6.325,False
SEP-05,582.9,no,2.23,1.93,13.36,True,171.716,126.63,3.0,True
SEP-06,1815.2,no,0.59,0.82,55.77,True,386.752,157.79,18.0,False
SEP-07,1342,no,3.14,3.02,18.25,True,304.179,109.34,6.325,False
SEP-08,657.1,no,4.56,3.96,13.43,True,184.664,82.36,3.0,True
SEP-09,1372.3,no,-1.54,-1.34,13.65,True,309.466,198.26,16.0,False
SEP-10,809.7,no,0.65,0.57,13.58,True,211.293,156.65,12.0,False
SEP-11,418,yes,2.95,2.85,18.59,True,142.941,112.95,3.0,True
SEP-12,387.3,yes,-1.73,-1.66,18.1,True,137.584,201.87,9.0,False
SEP-30,890.8,no,1.79,1.57,13.77,True,225.445,134.99,4.0,True
SGW-01,96.84,yes,-0.79,-0.73,16.03,True,86.899,184.01,0.0,True
SGW-03,76.1,yes,-3.42,-3.15,16.04,True,83.279,233.98,17.0,False
SGW-07,98.89,yes,-0.91,-0.84,16.01,True,87.256,186.29,1.414,True
SGW-09,98.8,yes,0.64,0.59,16.02,True,87.241,156.84,5.0,True
SGW-11,106.2,yes,0.24,0.22,16.02,True,88.532,164.44,0.0,True
SGW-13,101.69,yes,-0.77,-0.71,16.06,True,87.745,183.63,0.0,True
SGW-15,96.94,yes,-1.28,-1.18,16.03,True,86.916,193.32,6.403,False
SGW-17,105.71,yes,1.33,1.23,16.05,True,88.446,143.73,0.0,True
SGW-31,659,no,-0.96,-0.91,17.33,True,184.995,187.24,13.0,False
STR-40,2920.4,no,0.69,0.52,8.95,False,579.61,155.89,,
STR-41,1481.6,no,2.29,1.74,9.05,True,328.539,125.49,3.0,True
STR-44,1711.4,no,-0.89,-0.69,9.68,True,368.639,185.91,17.0,False
SWT-01,371,yes,0.31,0.31,21.14,True,134.74,163.11,13.0,False
