plot_code,edge_distance_m,edge_effects,agb_change,weighted_agb_change,monitoring_length_years
AND-01,428,yes,4.2,4.32,22.28
BAD-01,303,yes,1.3,1.32,21.24
BEL-01,2676,no,3.25,3.39,23.26
BEL-03,2675,no,-2.73,-2.84,23.17
BEL-04,3251,no,1.49,1.55,23.18
BEL-10,2402,no,0.14,0.15,23.03
BEL-19,9032,no,0.2,0.21,23.4
BEL-20,4311,no,-4.98,-5.18,23.03
BEL-30,4075.3,no,3.98,2.8,7.12
BKO-01,808,no,2.15,2.85,47.9
BKO-02,1021,no,3.33,4.42,47.91
BKO-03,1299,no,1.89,2.51,47.9
BKO-04,480,no,2.51,3.33,47.89
BRT-01,424.9,yes,0.76,0.43,3.81
BUL-10,3241.4,no,-0.77,-0.78,21.65
BUL-22,3442,no,2.96,2.97,20.72
BUL-41,2496,no,3.19,2.92,15.7
BUL-42,2052,no,1.18,1.1,16.74
BUL-43,2896,no,3.81,3.49,15.73
BUL-44,3208,no,1.51,1.54,21.71
BUL-45,3100.6,no,-0.31,-0.31,20.04
DAN-01,871,no,2.68,1.92,7.58
DAN-02,1695,no,-6.27,-4.51,7.61
DAN-03,2058,no,4.2,3.02,7.65
GMU-01,379,yes,-2.61,-3.1,34.32
GMU-02,3549,no,2.54,3.01,34.3
GMU-03,7003,no,-0.23,-0.27,34.25
GMU-04,7041,no,-2.62,-3.11,34.26
ITT-72,519.9,no,0.91,0.84,16.07
ITU-76,507.7,no,-0.04,-0.05,37.52
ITV-76,372.8,yes,0.8,0.74,16
ITW-76,257.7,yes,-0.04,-0.04,15.99
ITX-71,385.2,yes,2.82,2.61,16.34
ITY-76,2481.3,no,2.8,2.58,16.07
ITZ-76,2481.3,no,1.58,1.46,16.07
KIS-07,282,yes,-5.7,-4.1,7.64
KIU-07,481,no,1.51,1.08,7.58
LAM-02,141.4,yes,-5.04,-6.65,47.18
LAM-03,578.8,no,-0.49,-0.65,47.25
LAM-04,1026.1,no,1.67,2.21,47.24
LAM-05,725.9,no,0.6,0.79,47.24
LAM-06,923,no,-0.39,-0.39,20.65
LAM-07,191,yes,-2.29,-2.34,22.01
MER-02,908.4,no,2.08,2.41,31.88
MER-05,1174,no,-0.55,-0.64,31.88
MER-10,1719.3,no,3.14,3.64,31.89
MER-11,1846.5,no,1.34,1.55,31.89
MER-14,1705,no,0.23,0.27,31.89
SEP-04,414.4,yes,2.67,2.32,13.51
SEP-05,582.9,no,2.23,1.93,13.36
SEP-06,1815.2,no,0.59,0.82,55.77
SEP-07,1342,no,3.14,3.02,18.25
SEP-08,657.1,no,4.56,3.96,13.43
SEP-09,1372.3,no,-1.54,-1.34,13.65
SEP-10,809.7,no,0.65,0.57,13.58
SEP-11,418,yes,2.95,2.85,18.59
SEP-12,387.3,yes,-1.73,-1.66,18.1
SEP-30,890.8,no,1.79,1.57,13.77
SGW-01,96.84,yes,-0.79,-0.73,16.03
SGW-03,76.1,yes,-3.42,-3.15,16.04
SGW-07,98.89,yes,-0.91,-0.84,16.01
SGW-09,98.8,yes,0.64,0.59,16.02
SGW-11,106.2,yes,0.24,0.22,16.02
SGW-13,101.69,yes,-0.77,-0.71,16.06
SGW-15,96.94,yes,-1.28,-1.18,16.03
SGW-17,105.71,yes,1.33,1.23,16.05
SGW-31,659,no,-0.96,-0.91,17.33
STR-40,2920.4,no,0.69,0.52,8.95
STR-41,1481.6,no,2.29,1.74,9.05
STR-44,1711.4,no,-0.89,-0.69,9.68
SWT-01,371,yes,0.31,0.31,21.14
