series,marker_shape,segment,log10_molar,digitized_value,digitized_error_lower,digitized_error_upper,pdf_x_pt,pdf_y_pt,status
ADR,square,vehicle,,16.597545699025932,,,92.19725036621094,268.6710205078125,vector_marker_extracted
ADR,square,main,-9.002672630833366,22.09932575453705,,,126.24029922485352,265.60548400878906,vector_marker_extracted
ADR,square,main,-8.00392433248612,40.29952571283834,33.900371901091546,46.69673517141997,135.65699768066406,255.46451568603516,vector_marker_extracted
ADR,square,main,-7.005223371422023,68.1993368249877,64.89700359286087,71.49797304757512,145.07324981689453,239.9190216064453,vector_marker_extracted
ADR,square,main,-6.000536064704439,78.39963261149386,74.09675167172627,82.6988439269779,154.5459442138672,234.2355194091797,vector_marker_extracted
ADR,square,main,-5.001910357782781,85.79936151613727,82.6988439269779,88.89601778422215,163.96148681640625,230.11246490478516,vector_marker_extracted
ADR,square,main,-4.003184312004536,85.79936151613727,82.6988439269779,88.89601778422215,173.3779754638672,230.11246490478516,vector_marker_extracted
NA,triangle,vehicle,,13.801401535982539,,,92.1974983215332,270.22900390625,vector_marker_extracted
NA,triangle,main,-9.002598590467418,26.0001089826972,21.500656676456938,30.499396977402377,126.24099731445312,263.4320068359375,vector_marker_extracted
NA,triangle,main,-8.003925141670448,48.99945179460482,42.89911220203699,55.09781964875165,135.65699005126953,250.61700439453125,vector_marker_extracted
NA,triangle,main,-7.005196668339221,68.89930396444736,62.700267909805476,75.09998313444008,145.07350158691406,239.5290069580078,vector_marker_extracted
NA,triangle,main,-6.000531209598474,80.19706387903825,76.4962751743317,83.89590823057965,154.54598999023438,233.2340087890625,vector_marker_extracted
NA,triangle,main,-5.001910357782781,89.1958041799837,84.99967096750929,93.39894801795504,163.96148681640625,228.22000122070312,vector_marker_extracted
NA,triangle,main,-4.003182693635881,89.49820586767866,85.20067874542923,93.79737610527893,173.37799072265625,228.05150604248047,vector_marker_extracted
DA,circle,vehicle,,14.599106653561586,,,92.1984977722168,269.78453063964844,vector_marker_extracted
DA,circle,main,-9.002545588893978,19.79934765693693,,,126.24149703979492,266.8870086669922,vector_marker_extracted
DA,circle,main,-8.003817520154914,20.397907193993653,,,135.6580047607422,266.5534973144531,vector_marker_extracted
DA,circle,main,-7.005197477523549,23.999889895602774,,,145.07349395751953,264.5465087890625,vector_marker_extracted
DA,circle,main,-6.000478612617199,50.29971743486752,44.5000816441321,56.099353225602925,154.5464859008789,249.89250946044922,vector_marker_extracted
DA,circle,main,-5.001804354635902,69.9985618267901,64.5004377029346,75.4949059090155,163.96248626708984,238.91651153564453,vector_marker_extracted
DA,circle,main,-4.00307749967333,73.60057191365506,68.80058011711746,78.39875628330674,173.3789825439453,236.90950775146484,vector_marker_extracted
