category,series,value,sd,unit,category_index,series_index,points,source_status,source_mean_file,source_sd_file,source_scatter_file
Jan–Apr 2015,Flights of stairs climbed,66.1,12.8,%,0,0,71.6;62.4;50.3;80.2,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Jan–Apr 2015,Walking and running distance,38.2,5.1,%,0,1,44.9;38.2;32.6;37.0,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Jan–Apr 2015,Steps taken,40.8,4.8,%,0,2,47.2;38.7;36.0;41.3,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Jan–Apr 2015,Sleep quality,87.9,4.2,%,0,3,93.0;89.8;84.1;84.8,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
May–Aug 2015,Flights of stairs climbed,75.8,16.4,%,1,0,100.0;70.1;69.3;63.8,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
May–Aug 2015,Walking and running distance,35.8,0.3,%,1,1,35.9;35.5;36.1;35.6,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
May–Aug 2015,Steps taken,39.7,1.6,%,1,2,41.6;40.3;38.8;38.0,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
May–Aug 2015,Sleep quality,87.8,10.5,%,1,3,74.8;85.9;100.0;90.4,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Sep–Dec 2015,Flights of stairs climbed,63.3,24.6,%,2,0,56.9;32.5;90.2;73.4,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Sep–Dec 2015,Walking and running distance,33.8,9.5,%,2,1,39.9;21.2;42.1;32.1,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Sep–Dec 2015,Steps taken,38.3,8.6,%,2,2,44.1;26.5;45.3;37.1,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Sep–Dec 2015,Sleep quality,90.7,5.7,%,2,3,97.7;85.4;86.8;92.9,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Jan–Apr 2016,Flights of stairs climbed,62.4,19.6,%,3,0,75.9;70.1;70.3;33.3,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Jan–Apr 2016,Walking and running distance,30.7,4.9,%,3,1,33.2;26.7;36.4;26.7,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Jan–Apr 2016,Steps taken,37.2,4.8,%,3,2,38.1;32.5;43.5;34.8,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Jan–Apr 2016,Sleep quality,88.1,5.6,%,3,3,88.4;91.1;92.7;80.2,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
May–Aug 2016,Flights of stairs climbed,79.6,7.0,%,4,0,88.8;72.2;77.3;80.0,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
May–Aug 2016,Walking and running distance,64.8,35.1,%,4,1,38.7;30.8;89.7;100.0,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
May–Aug 2016,Steps taken,69.0,28.7,%,4,2,50.0;39.7;86.2;100.0,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
May–Aug 2016,Sleep quality,79.3,4.3,%,4,3,82.6;83.1;77.2;74.4,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Sep–Dec 2016,Flights of stairs climbed,55.1,6.5,%,5,0,47.9;53.2;55.8;63.6,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Sep–Dec 2016,Walking and running distance,74.3,5.1,%,5,1,77.7;78.4;67.3;73.6,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Sep–Dec 2016,Steps taken,78.8,4.9,%,5,2,82.2;82.4;71.8;78.7,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
Sep–Dec 2016,Sleep quality,83.9,5.8,%,5,3,86.9;84.7;75.6;88.6,official_figshare_source_mapped,bar-means.csv,bar-sd.csv,scatter.csv
