panel,category,series,category_center_pixel,q1,median,q3,lower_whisker,upper_whisker,visible_outliers,q1_pixel,median_pixel,q3_pixel,lower_whisker_pixel,upper_whisker_pixel,median_coincident_with_q1,median_coincident_with_q3,lower_whisker_coincident_with_q1,upper_whisker_coincident_with_q3,status
BCA,Control,Retrain,143.0,0.5269230769230769,0.6082692307692308,0.625576923076923,0.4986538461538462,0.6625,,509.0,438.5,423.5,533.5,391.5,False,False,False,False,candidate_visible_geometry
BCA,Control,Finetune,165.0,0.6936538461538462,0.7017307692307693,0.7098076923076924,0.6775,0.7201923076923077,0.671153846,364.5,357.5,350.5,378.5,341.5,False,False,False,False,candidate_visible_geometry
BCA,AD,Retrain,210.0,0.5805769230769231,0.6053846153846154,0.6203846153846153,0.5413461538461539,0.6590384615384616,0.506153846,462.5,441.0,428.0,496.5,394.5,False,False,False,False,candidate_visible_geometry
BCA,AD,Finetune,232.0,0.7248076923076923,0.7328846153846154,0.7375,0.7063461538461538,0.7478846153846154,,337.5,330.5,326.5,353.5,317.5,False,False,False,False,candidate_visible_geometry
BCA,PD,Retrain,277.0,0.6221153846153846,0.6613461538461538,0.6740384615384616,0.5926923076923077,0.7167307692307693,0.538461538;0.499230769,426.5,392.5,381.5,452.0,344.5,False,False,False,False,candidate_visible_geometry
BCA,PD,Finetune,298.5,0.6613461538461538,0.6775,0.6913461538461538,0.6359615384615385,0.7219230769230769,,392.5,378.5,366.5,414.5,340.0,False,False,False,False,candidate_visible_geometry
BCA,FTD,Retrain,344.0,0.4998076923076924,0.5246153846153847,0.5459615384615385,0.45942307692307693,0.5828846153846154,,532.5,511.0,492.5,567.5,460.5,False,False,False,False,candidate_visible_geometry
BCA,FTD,Finetune,365.5,0.5159615384615385,0.556923076923077,0.5800000000000001,0.4888461538461538,0.6169230769230769,,518.5,483.0,463.0,542.0,431.0,False,False,False,False,candidate_visible_geometry
BCA,Stroke,Retrain,411.0,0.5742307692307692,0.6036538461538461,0.6221153846153846,0.5061538461538462,0.640576923076923,0.499230769,468.0,442.5,426.5,527.0,410.5,False,False,False,False,candidate_visible_geometry
BCA,Stroke,Finetune,432.5,0.5973076923076923,0.6186538461538462,0.6290384615384615,0.5794230769230769,0.6440384615384616,,448.0,429.5,420.5,463.5,407.5,False,False,False,False,candidate_visible_geometry
AUC,Control,Retrain,646.5,0.6532692307692308,0.6751923076923076,0.6901923076923078,0.6411538461538462,0.7282692307692308,0.592692308,399.5,380.5,367.5,410.0,334.5,False,False,False,False,candidate_visible_geometry
AUC,Control,Finetune,668.5,0.7628846153846154,0.7744230769230769,0.7778846153846154,0.7501923076923077,0.7865384615384615,0.740384615,304.5,294.5,291.5,315.5,284.0,False,False,False,False,candidate_visible_geometry
AUC,AD,Retrain,713.5,0.6423076923076922,0.6561538461538462,0.6734615384615386,0.6198076923076923,0.7040384615384615,,409.0,397.0,382.0,428.5,355.5,False,False,False,False,candidate_visible_geometry
AUC,AD,Finetune,735.0,0.8101923076923077,0.8136538461538462,0.8188461538461538,0.8003846153846154,0.8257692307692308,0.793461538,263.5,260.5,256.0,272.0,250.0,False,False,False,False,candidate_visible_geometry
AUC,PD,Retrain,780.5,0.6896153846153846,0.729423076923077,0.7507692307692307,0.6440384615384616,0.8061538461538462,,368.0,333.5,315.0,407.5,267.0,False,False,False,False,candidate_visible_geometry
AUC,PD,Finetune,802.0,0.7259615384615384,0.7386538461538461,0.7461538461538462,0.6994230769230769,0.7559615384615385,,336.5,325.5,319.0,359.5,310.5,False,False,False,False,candidate_visible_geometry
AUC,FTD,Retrain,847.5,0.5148076923076923,0.5575,0.5748076923076924,0.4657692307692307,0.6215384615384616,,519.5,482.5,467.5,562.0,427.0,False,False,False,False,candidate_visible_geometry
AUC,FTD,Finetune,869.0,0.5401923076923076,0.5678846153846154,0.5955769230769231,0.4986538461538462,0.6648076923076923,,497.5,473.5,449.5,533.5,389.5,False,False,False,False,candidate_visible_geometry
AUC,Stroke,Retrain,914.5,0.625,0.6475,0.6648076923076923,0.5805769230769231,0.7075,,424.0,404.5,389.5,462.5,352.5,False,False,False,False,candidate_visible_geometry
AUC,Stroke,Finetune,936.0,0.676923076923077,0.676923076923077,0.6855769230769231,0.6728846153846154,0.6994230769230769,0.641153846,379.0,379.0,371.5,382.5,359.5,True,False,False,False,candidate_visible_geometry
