point_id,reads_log10,pr_auc,x_pixel,y_pixel,sampled_rgb,component_pixels
1,15.64,0.054573,146.5,86.5,#1e1021,4
2,15.8156,0.065802,153.085,68.085,#3b8cab,47
3,15.95444,0.048819,158.292,95.938,#336a8c,48
4,16.00552,0.060618,160.207,76.586,#2e1e3a,29
5,16.03833,0.055202,161.438,85.469,#2e1d39,32
6,16.23489,0.072185,168.809,57.617,#3f6da2,47
7,16.31498,0.039069,171.812,111.928,#6cb6c1,69
8,16.5883,0.066961,182.061,66.184,#41386d,49
9,16.75937,0.048984,188.476,95.667,#241326,21
10,16.84,0.050915,191.5,92.5,#c5e1dd,4
11,16.97231,0.068809,196.462,63.154,#2b1d37,26
12,17.24,0.08811,206.5,31.5,#2a162d,8
13,17.33147,0.058125,209.93,80.674,#3b314a,43
14,17.35246,0.085795,210.717,35.297,#4598ac,145
15,17.59467,0.079878,219.8,45.0,#3c9ba7,80
16,17.72919,0.074417,224.844,53.956,#48bdad,45
17,17.8054,0.089332,227.702,29.496,#3799a8,121
18,18.09195,0.097372,238.448,16.31,#29192f,29
